year	factor	wgt	Δp
1987	EMS	1.0	0.02849897237423272
1988	EMS	1.0	0.009793568717118886
1989	EMS	1.0	0.00845517193850831
1990	EMS	1.0	0.008578896372705393
1991	EMS	1.0	0.008134000541446347
1992	EMS	1.0	0.00511707484800878
1993	EMS	1.0	0.005514108053876067
1994	EMS	1.0	0.006210657092411212
1995	EMS	1.0	0.009542645704503673
1996	EMS	1.0	0.0055931391826839994
1997	EMS	1.0	0.007732329695201909
1998	EMS	1.0	0.003703618074585877
1999	EMS	1.0	0.005349628277882401
2000	EMS	1.0	0.011901856915434144
2001	EMS	1.0	0.004363225645703267
2002	EMS	1.0	0.001880262810459965
2003	EMS	1.0	0.007960542615090885
2004	EMS	1.0	0.011634036790451855
2005	EMS	1.0	0.01031431308669977
2006	EMS	1.0	0.011007350281873513
2007	EMS	1.0	0.008778593683313055
2008	EMS	1.0	0.010726758896738908
2009	EMS	1.0	-0.003266606464422341
2010	EMS	1.0	0.006714117139631359
2011	EMS	1.0	0.006420704594097966
2012	EMS	1.0	0.005454697029694313
2013	EMS	1.0	0.006670795306801519
2014	EMS	1.0	0.006211287202292382
2015	EMS	1.0	0.002997313476266695
2016	EMS	1.0	0.003713985990715799
2017	EMS	1.0	0.0068289449350292675
2018	EMS	1.0	0.008009043617554217
2019	EMS	1.0	0.00634917506708608
2020	EMS	1.0	0.0024124900721201777
2021	EMS	1.0	0.01957833928729469
2022	EMS	1.0	0.025428374106178906
2023	EMS	1.0	0.0005323998126915118
2024	EMS	1.0	0.019174040487313096
1988	L	0.7261123414535937	
1989	L	0.696589457696158	
1990	L	0.7115662499214677	
1991	L	0.7205964425237189	
1992	L	0.7934711675367822	
1993	L	0.6985323648547855	
1994	L	0.6802476365765916	
1995	L	0.6504182160317646	
1996	L	0.6708413535651493	
1997	L	0.6061828549131165	
1998	L	0.5838916858419599	
1999	L	0.5201586279924423	
2000	L	0.4832440941390358	
2001	L	0.564878564357541	
2002	L	0.5709193657083005	
2003	L	0.6017958084198927	
2004	L	0.6370749590200337	
2005	L	0.6226241199597696	
2006	L	0.6416422165633304	
2007	L	0.5860515688101895	
2008	L	0.5769351533108406	
2009	L	0.5863165846346329	
2010	L	0.5743363924441335	
2011	L	0.5745151326741411	
2012	L	0.5560906203171322	
2013	L	0.5743548888300302	
2014	L	0.568459535832461	
2015	L	0.5917464519238378	
2016	L	0.5834123144220572	
2017	L	0.5616851648071359	
2018	L	0.5379228786139101	
2019	L	0.5591983581123178	
2020	L	0.563827024890621	
2021	L	0.5562001960543818	
2022	L	0.5302699373731415	
2023	L	0.5447397382910839	
1988	TFP	1.0	0.018146470905830644
1989	TFP	1.0	0.01600355870139998
1990	TFP	1.0	0.008635918310900364
1991	TFP	1.0	0.007882612189596211
1992	TFP	1.0	0.0037485906653432393
1993	TFP	1.0	0.008601982436502282
1994	TFP	1.0	0.0052371435154085445
1995	TFP	1.0	0.00879665051763196
1996	TFP	1.0	0.006878683987487986
1997	TFP	1.0	0.002414678581081193
1998	TFP	1.0	0.006046665435985869
1999	TFP	1.0	0.010451330000355821
2000	TFP	1.0	0.01608169693218685
2001	TFP	1.0	-0.0010395484958227545
2002	TFP	1.0	-0.015470898428038003
2003	TFP	1.0	-0.0206381143344179
2004	TFP	1.0	-0.03563590185091606
2005	TFP	1.0	-0.04573378940125552
2006	TFP	1.0	-0.057909181298279176
2007	TFP	1.0	-0.0432766274170201
2008	TFP	1.0	-0.033288363031148224
2009	TFP	1.0	-0.02975385532824081
2010	TFP	1.0	-0.02638961407319917
2011	TFP	1.0	-0.03130691090993152
2012	TFP	1.0	-0.02471290360401962
2013	TFP	1.0	-0.03201145780155597
2014	TFP	1.0	-0.02420222380659515
2015	TFP	1.0	-0.021088478277350123
2016	TFP	1.0	-0.013943868076691747
2017	TFP	1.0	-0.01230654855848026
2018	TFP	1.0	-0.016926975788449542
2019	TFP	1.0	-0.017956509875264415
2020	TFP	1.0	-0.024567692347349207
2021	TFP	1.0	-0.03277512620896154
2022	TFP	1.0	-0.03307721461913205
2023	TFP	1.0	-0.035366575940772284
