%SeriesCode,Period,Value
d1gfedr1es00,1925,"0"
d1gfedr1es00,1926,"0"
d1gfedr1es00,1927,"0"
d1gfedr1es00,1928,"0"
d1gfedr1es00,1929,"0"
d1gfedr1es00,1930,"0"
d1gfedr1es00,1931,"0"
d1gfedr1es00,1932,"0"
d1gfedr1es00,1933,"0"
d1gfedr1es00,1934,"0"
d1gfedr1es00,1935,"0"
d1gfedr1es00,1936,"0"
d1gfedr1es00,1937,"0"
d1gfedr1es00,1938,"0"
d1gfedr1es00,1939,"0"
d1gfedr1es00,1940,"6"
d1gfedr1es00,1941,"113"
d1gfedr1es00,1942,"705"
d1gfedr1es00,1943,"1,441"
d1gfedr1es00,1944,"2,963"
d1gfedr1es00,1945,"5,892"
d1gfedr1es00,1946,"7,679"
d1gfedr1es00,1947,"8,992"
d1gfedr1es00,1948,"9,285"
d1gfedr1es00,1949,"4,950"
d1gfedr1es00,1950,"5,114"
d1gfedr1es00,1951,"63"
d1gfedr1es00,1952,"105"
d1gfedr1es00,1953,"83"
d1gfedr1es00,1954,"83"
d1gfedr1es00,1955,"0"
d1gfedr1es00,1956,"0"
d1gfedr1es00,1957,"0"
d1gfedr1es00,1958,"0"
d1gfedr1es00,1959,"0"
d1gfedr1es00,1960,"0"
d1gfedr1es00,1961,"0"
d1gfedr1es00,1962,"0"
d1gfedr1es00,1963,"0"
d1gfedr1es00,1964,"0"
d1gfedr1es00,1965,"0"
d1gfedr1es00,1966,"355"
d1gfedr1es00,1967,"488"
d1gfedr1es00,1968,"717"
d1gfedr1es00,1969,"521"
d1gfedr1es00,1970,"576"
d1gfedr1es00,1971,"389"
d1gfedr1es00,1972,"0"
d1gfedr1es00,1973,"425"
d1gfedr1es00,1974,"0"
d1gfedr1es00,1975,"0"
d1gfedr1es00,1976,"0"
d1gfedr1es00,1977,"0"
d1gfedr1es00,1978,"0"
d1gfedr1es00,1979,"0"
d1gfedr1es00,1980,"0"
d1gfedr1es00,1981,"0"
d1gfedr1es00,1982,"0"
d1gfedr1es00,1983,"0"
d1gfedr1es00,1984,"0"
d1gfedr1es00,1985,"0"
d1gfedr1es00,1986,"0"
d1gfedr1es00,1987,"0"
d1gfedr1es00,1988,"0"
d1gfedr1es00,1989,"0"
