%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
d1gfedr1es00,"Federal","Current Dollars","Level",-6,FAAt107:23,NONE
d1gstlc1es00,"State and local","Current Dollars","Level",-6,FAAt107:24,NONE
d1gtotl1eq00,"Equipment","Current Dollars","Level",-6,FAAt107:11,d1gtotl1esnr
d1gtotl1es00,"Government","Current Dollars","Level",-6,FAAt107:22|FAAt107:9,d1ttotl1es00
d1gtotl1esnr,"Nonresidential","Current Dollars","Level",-6,FAAt107:10,d1gtotl1es00
d1gtotl1ip00,"Intellectual property products","Current Dollars","Level",-6,FAAt107:13,d1gtotl1esnr
d1gtotl1sa00,"Residential","Current Dollars","Level",-6,FAAt107:14,d1gtotl1es00
d1gtotl1stnr,"Structures","Current Dollars","Level",-6,FAAt107:12,d1gtotl1esnr
d1ntotl1eq00,"Equipment","Current Dollars","Level",-6,FAAt107:5,d1ntotl1es00
d1ntotl1es00,"Nonresidential","Current Dollars","Level",-6,FAAt107:4,d1ptotl1es00
d1ntotl1ip00,"Intellectual property products","Current Dollars","Level",-6,FAAt107:7,d1ntotl1es00
d1ntotl1st00,"Structures","Current Dollars","Level",-6,FAAt107:6,d1ntotl1es00
d1ptotl1es00,"Private","Current Dollars","Level",-6,FAAt107:3,d1ttotl1es00
d1r53101es00,"Residential","Current Dollars","Level",-6,FAAt107:8,d1ptotl1es00
d1ttotl1es00,"Fixed assets","Current Dollars","Level",-6,FAAt107:16|FAAt107:2,NONE
d1x53101es00,"Residential","Current Dollars","Level",-6,FAAt107:21,NONE
d1ytotl1eq00,"Equipment","Current Dollars","Level",-6,FAAt107:18,NONE
d1ytotl1es00,"Nonresidential","Current Dollars","Level",-6,FAAt107:17,NONE
d1ytotl1ip00,"Intellectual property products","Current Dollars","Level",-6,FAAt107:20,NONE
d1ytotl1st00,"Structures","Current Dollars","Level",-6,FAAt107:19,NONE
d3ntotl1eq00,"Equipment","Historical Cost","Level",-6,FAAt108:5,NONE
d3ntotl1es00,"Nonresidential","Historical Cost","Level",-6,FAAt108:4,NONE
d3ntotl1ip00,"Intellectual property products","Historical Cost","Level",-6,FAAt108:7,NONE
d3ntotl1st00,"Structures","Historical Cost","Level",-6,FAAt108:6,NONE
