%SeriesCode,Period,Value
A001RC,1929,"105,322"
A001RC,1930,"92,869"
A001RC,1931,"77,906"
A001RC,1932,"59,886"
A001RC,1933,"57,454"
A001RC,1934,"67,079"
A001RC,1935,"74,582"
A001RC,1936,"85,092"
A001RC,1937,"93,372"
A001RC,1938,"87,731"
A001RC,1939,"93,810"
A001RC,1940,"103,179"
A001RC,1941,"129,725"
A001RC,1942,"166,363"
A001RC,1943,"203,415"
A001RC,1944,"224,771"
A001RC,1945,"228,272"
A001RC,1946,"228,187"
A001RC,1947,"250,726"
A001RC,1948,"275,924"
A001RC,1949,"273,755"
A001RC,1950,"301,267"
A001RC,1951,"348,806"
A001RC,1952,"369,326"
A001RC,1953,"391,117"
A001RC,1954,"392,644"
A001RC,1955,"427,927"
A001RC,1956,"452,149"
A001RC,1957,"477,093"
A001RC,1958,"483,858"
A001RC,1959,"524,415"
A001RC,1960,"545,494"
A001RC,1961,"565,728"
A001RC,1962,"608,015"
A001RC,1963,"641,927"
A001RC,1964,"689,380"
A001RC,1965,"747,568"
A001RC,1966,"818,484"
A001RC,1967,"865,352"
A001RC,1968,"946,736"
A001RC,1969,"1,023,730"
A001RC,1970,"1,079,696"
A001RC,1971,"1,172,444"
A001RC,1972,"1,287,668"
A001RC,1973,"1,437,994"
A001RC,1974,"1,560,763"
A001RC,1975,"1,697,908"
A001RC,1976,"1,890,259"
A001RC,1977,"2,102,118"
A001RC,1978,"2,373,180"
A001RC,1979,"2,659,264"
A001RC,1980,"2,891,492"
A001RC,1981,"3,239,976"
A001RC,1982,"3,380,299"
A001RC,1983,"3,671,122"
A001RC,1984,"4,073,903"
A001RC,1985,"4,364,344"
A001RC,1986,"4,596,588"
A001RC,1987,"4,872,702"
A001RC,1988,"5,259,095"
A001RC,1989,"5,666,369"
A001RC,1990,"5,997,836"
A001RC,1991,"6,189,716"
A001RC,1992,"6,551,404"
A001RC,1993,"6,889,717"
A001RC,1994,"7,310,202"
A001RC,1995,"7,667,701"
A001RC,1996,"8,103,991"
A001RC,1997,"8,600,853"
A001RC,1998,"9,080,228"
A001RC,1999,"9,662,075"
A001RC,2000,"10,289,432"
A001RC,2001,"10,632,293"
A001RC,2002,"10,974,902"
A001RC,2003,"11,514,946"
A001RC,2004,"12,293,909"
A001RC,2005,"13,113,997"
A001RC,2006,"13,862,043"
A001RC,2007,"14,569,892"
A001RC,2008,"14,915,076"
A001RC,2009,"14,628,310"
A001RC,2010,"15,254,604"
A001RC,2011,"15,837,664"
A001RC,2012,"16,486,660"
A001RC,2013,"17,110,921"
A001RC,2014,"17,843,297"
A001RC,2015,"18,515,147"
A001RC,2016,"19,036,279"
A001RC,2017,"19,905,052"
A001RC,2018,"20,946,823"
A001RC,2019,"21,821,877"
A001RC,2020,"21,586,878"
A001RC,2021,"23,876,486"
A001RC,2022,"26,206,644"
A001RC,2023,"27,897,176"
A001RC,2024,"29,289,740"
A001RD,1929,"8.757"
A001RD,1930,"8.438"
A001RD,1931,"7.571"
A001RD,1932,"6.685"
A001RD,1933,"6.500"
A001RD,1934,"6.858"
A001RD,1935,"6.998"
A001RD,1936,"7.082"
A001RD,1937,"7.385"
A001RD,1938,"7.174"
A001RD,1939,"7.102"
A001RD,1940,"7.187"
A001RD,1941,"7.672"
A001RD,1942,"8.281"
A001RD,1943,"8.659"
A001RD,1944,"8.864"
A001RD,1945,"9.095"
A001RD,1946,"10.272"
A001RD,1947,"11.400"
A001RD,1948,"12.040"
A001RD,1949,"12.018"
A001RD,1950,"12.167"
A001RD,1951,"13.028"
A001RD,1952,"13.254"
A001RD,1953,"13.415"
A001RD,1954,"13.539"
A001RD,1955,"13.769"
A001RD,1956,"14.238"
A001RD,1957,"14.710"
A001RD,1958,"15.046"
A001RD,1959,"15.253"
A001RD,1960,"15.462"
A001RD,1961,"15.627"
A001RD,1962,"15.818"
A001RD,1963,"16.000"
A001RD,1964,"16.244"
A001RD,1965,"16.542"
A001RD,1966,"17.006"
A001RD,1967,"17.500"
A001RD,1968,"18.246"
A001RD,1969,"19.140"
A001RD,1970,"20.151"
A001RD,1971,"21.174"
A001RD,1972,"22.091"
A001RD,1973,"23.304"
A001RD,1974,"25.397"
A001RD,1975,"27.752"
A001RD,1976,"29.284"
A001RD,1977,"31.105"
A001RD,1978,"33.295"
A001RD,1979,"36.058"
A001RD,1980,"39.311"
A001RD,1981,"43.035"
A001RD,1982,"45.693"
A001RD,1983,"47.487"
A001RD,1984,"49.201"
A001RD,1985,"50.757"
A001RD,1986,"51.784"
A001RD,1987,"53.082"
A001RD,1988,"54.956"
A001RD,1989,"57.118"
A001RD,1990,"59.266"
A001RD,1991,"61.282"
A001RD,1992,"62.677"
A001RD,1993,"64.161"
A001RD,1994,"65.528"
A001RD,1995,"66.909"
A001RD,1996,"68.137"
A001RD,1997,"69.312"
A001RD,1998,"70.093"
A001RD,1999,"71.131"
A001RD,2000,"72.743"
A001RD,2001,"74.380"
A001RD,2002,"75.535"
A001RD,2003,"77.027"
A001RD,2004,"79.098"
A001RD,2005,"81.580"
A001RD,2006,"84.096"
A001RD,2007,"86.377"
A001RD,2008,"88.046"
A001RD,2009,"88.581"
A001RD,2010,"89.660"
A001RD,2011,"91.514"
A001RD,2012,"93.217"
A001RD,2013,"94.801"
A001RD,2014,"96.452"
A001RD,2015,"97.339"
A001RD,2016,"98.262"
A001RD,2017,"100.000"
A001RD,2018,"102.225"
A001RD,2019,"103.909"
A001RD,2020,"105.306"
A001RD,2021,"110.108"
A001RD,2022,"117.939"
A001RD,2023,"122.301"
A001RD,2024,"125.338"
A001RG,1929,"8.737"
A001RG,1930,"8.400"
A001RG,1931,"7.570"
A001RG,1932,"6.708"
A001RG,1933,"6.527"
A001RG,1934,"6.846"
A001RG,1935,"6.984"
A001RG,1936,"7.069"
A001RG,1937,"7.326"
A001RG,1938,"7.190"
A001RG,1939,"7.099"
A001RG,1940,"7.163"
A001RG,1941,"7.632"
A001RG,1942,"8.267"
A001RG,1943,"8.661"
A001RG,1944,"8.867"
A001RG,1945,"9.090"
A001RG,1946,"10.238"
A001RG,1947,"11.391"
A001RG,1948,"12.037"
A001RG,1949,"12.031"
A001RG,1950,"12.144"
A001RG,1951,"12.966"
A001RG,1952,"13.249"
A001RG,1953,"13.419"
A001RG,1954,"13.556"
A001RG,1955,"13.750"
A001RG,1956,"14.220"
A001RG,1957,"14.716"
A001RG,1958,"15.060"
A001RG,1959,"15.260"
A001RG,1960,"15.469"
A001RG,1961,"15.634"
A001RG,1962,"15.825"
A001RG,1963,"16.007"
A001RG,1964,"16.251"
A001RG,1965,"16.550"
A001RG,1966,"17.014"
A001RG,1967,"17.508"
A001RG,1968,"18.254"
A001RG,1969,"19.149"
A001RG,1970,"20.160"
A001RG,1971,"21.184"
A001RG,1972,"22.101"
A001RG,1973,"23.315"
A001RG,1974,"25.402"
A001RG,1975,"27.764"
A001RG,1976,"29.298"
A001RG,1977,"31.119"
A001RG,1978,"33.309"
A001RG,1979,"36.072"
A001RG,1980,"39.336"
A001RG,1981,"43.054"
A001RG,1982,"45.715"
A001RG,1983,"47.506"
A001RG,1984,"49.223"
A001RG,1985,"50.780"
A001RG,1986,"51.814"
A001RG,1987,"53.104"
A001RG,1988,"54.982"
A001RG,1989,"57.144"
A001RG,1990,"59.302"
A001RG,1991,"61.309"
A001RG,1992,"62.706"
A001RG,1993,"64.191"
A001RG,1994,"65.557"
A001RG,1995,"66.940"
A001RG,1996,"68.167"
A001RG,1997,"69.348"
A001RG,1998,"70.115"
A001RG,1999,"71.104"
A001RG,2000,"72.729"
A001RG,2001,"74.404"
A001RG,2002,"75.519"
A001RG,2003,"77.032"
A001RG,2004,"79.089"
A001RG,2005,"81.561"
A001RG,2006,"84.099"
A001RG,2007,"86.380"
A001RG,2008,"88.011"
A001RG,2009,"88.582"
A001RG,2010,"89.646"
A001RG,2011,"91.499"
A001RG,2012,"93.209"
A001RG,2013,"94.816"
A001RG,2014,"96.467"
A001RG,2015,"97.301"
A001RG,2016,"98.230"
A001RG,2017,"100.000"
A001RG,2018,"102.224"
A001RG,2019,"103.911"
