component	occ_ttl	selected
11-3031	Financial Managers	true
11-3051	Industrial Production Managers	true
13-1081	Logisticians	true
13-1161	Market Research Analysts and Marketing Specialists	true
13-2011	Accountants and Auditors	true
13-2022 | 13-2023	Property Appraisers and Assessors	true
13-2081	Tax Examiners and Collectors, and Revenue Agents	true
15-1242 | 15-1243	Database Administrators; Database Architects	true
15-1252 | 15-1253	Software Developers	true
15-2031	Operations Research Analysts	true
15-2041	Statisticians	true
15-2051 | 15-2099	Data Scientists	true
17-3031	Surveying and Mapping Technicians	true
19-2041	Environmental Scientists and Specialists, Including Health	true
19-2042	Geoscientists, Except Hydrologists and Geographers	true
19-4021	Biological Technicians	true
23-1021	Administrative Law Judges, Adjudicators, and Hearing Officers	true
23-1023	Judges, Magistrate Judges, and Magistrates	true
23-2011	Paralegals and Legal Assistants	true
27-3092	Court Reporters and Simultaneous Captioners	true
29-2032	Diagnostic Medical Sonographers	true
29-2034 | 29-2035	Radiologic Technologists and Technicians	true
31-9094	Medical Transcriptionists	true
33-3021	Detectives and Criminal Investigators	true
43-3031	Bookkeeping, Accounting, and Auditing Clerks	true
43-3051	Payroll and Timekeeping Clerks	true
43-3061	Procurement Clerks	true
43-4031	Court, Municipal, and License Clerks	true
43-4061	Eligibility Interviewers, Government Programs	true
43-4071	File Clerks	true
43-4111	Interviewers, Except Eligibility and Loan	true
43-6012	Legal Secretaries and Administrative Assistants	true
43-6013	Medical Secretaries and Administrative Assistants	true
43-9021	Data Entry Keyers	true
43-9022	Word Processors and Typists	true
43-9041	Insurance Claims and Policy Processing Clerks	true
47-4011	Construction and Building Inspectors	true
11-1011	Chief Executives	false
11-1021	General and Operations Managers	false
11-2011	Advertising and Promotions Managers	false
11-2021	Marketing Managers	false
11-2022	Sales Managers	false
11-2032 | 11-2033	Public Relations and Fundraising Managers	false
11-3012 | 11-3013	Administrative Services and Facilities Managers	false
11-3021	Computer and Information Systems Managers	false
11-3061	Purchasing Managers	false
11-3071	Transportation, Storage, and Distribution Managers	false
11-3111	Compensation and Benefits Managers	false
11-3121	Human Resources Managers	false
11-3131	Training and Development Managers	false
11-9013	Farmers, Ranchers, and Other Agricultural Managers	false
11-9021	Construction Managers	false
11-9031	Education and Childcare Administrators, Preschool and Daycare	false
11-9033	Education Administrators, Postsecondary	false
11-9041	Architectural and Engineering Managers	false
11-9051	Food Service Managers	false
11-9071	Gambling Managers	false
11-9072 | 11-9179 | 11-9199	Entertainment and Recreation Managers, Except Gambling; Managers, All Other	false
11-9081	Lodging Managers	false
11-9111	Medical and Health Services Managers	false
11-9121	Natural Sciences Managers	false
11-9131	Postmasters and Mail Superintendents	false
11-9141	Property, Real Estate, and Community Association Managers	false
11-9151	Social and Community Service Managers	false
11-9161	Emergency Management Directors	false
11-9171 | 39-4031	Funeral Home Managers; Morticians, Undertakers, and Funeral Arrangers	false
13-1011	Agents and Business Managers of Artists, Performers, and Athletes	false
13-1021 | 13-1022 | 13-1023	Buyers and Purchasing Agents	false
13-1031	Claims Adjusters, Examiners, and Investigators	false
13-1032	Insurance Appraisers, Auto Damage	false
13-1041	Compliance Officers	false
13-1051	Cost Estimators	false
13-1071 | 13-1075	Human Resources Specialists	false
13-1074	Farm Labor Contractors	false
13-1082 | 13-1199	Project Management Specialists	false
13-1111	Management Analysts	false
13-1121	Meeting, Convention, and Event Planners	false
13-1131 | 41-9099	Fundraisers; Sales and Related Workers, All Other	false
13-1141	Compensation, Benefits, and Job Analysis Specialists	false
13-1151	Training and Development Specialists	false
13-2031	Budget Analysts	false
13-2041	Credit Analysts	false
13-2051 | 13-2054 | 13-2099	Financial and Investment Analysts	false
13-2052	Personal Financial Advisors	false
13-2053	Insurance Underwriters	false
13-2061	Financial Examiners	false
13-2071	Credit Counselors	false
13-2072	Loan Officers	false
13-2082	Tax Preparers	false
15-1211	Computer Systems Analysts	false
15-1212 | 15-1241 | 15-1254 | 15-1255	Computer Network Architects; Information Security Analysts	false
15-1221	Computer and Information Research Scientists	false
15-1231 | 15-1232	Computer Network Support Specialists; Computer User Support Specialists	false
15-1244	Network and Computer Systems Administrators	false
15-1251	Computer Programmers	false
15-2011	Actuaries	false
15-2021	Mathematicians	false
17-1011	Architects, Except Landscape and Naval	false
17-1012	Landscape Architects	false
17-1021	Cartographers and Photogrammetrists	false
17-1022	Surveyors	false
17-2011	Aerospace Engineers	false
17-2021	Agricultural Engineers	false
17-2031	Bioengineers and Biomedical Engineers	false
17-2041	Chemical Engineers	false
17-2051	Civil Engineers	false
17-2061	Computer Hardware Engineers	false
17-2071	Electrical Engineers	false
17-2072	Electronics Engineers, Except Computer	false
17-2081	Environmental Engineers	false
17-2111	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	false
17-2112	Industrial Engineers	false
17-2121	Marine Engineers and Naval Architects	false
17-2131	Materials Engineers	false
17-2141	Mechanical Engineers	false
17-2151	Mining and Geological Engineers, Including Mining Safety Engineers	false
17-2161	Nuclear Engineers	false
17-2171	Petroleum Engineers	false
17-3011	Architectural and Civil Drafters	false
17-3012	Electrical and Electronics Drafters	false
17-3013	Mechanical Drafters	false
17-3021	Aerospace Engineering and Operations Technologists and Technicians	false
17-3022	Civil Engineering Technologists and Technicians	false
17-3023	Electrical and Electronic Engineering Technologists and Technicians	false
17-3024	Electro-Mechanical and Mechatronics Technologists and Technicians	false
17-3025	Environmental Engineering Technologists and Technicians	false
17-3026	Industrial Engineering Technologists and Technicians	false
17-3027	Mechanical Engineering Technologists and Technicians	false
17-3028 | 17-3029	Calibration Technologists and Technicians; Engineering Technologists and Technicians, Except Drafters, All Other	false
19-1011	Animal Scientists	false
19-1012	Food Scientists and Technologists	false
19-1013	Soil and Plant Scientists	false
19-1021	Biochemists and Biophysicists	false
19-1022	Microbiologists	false
19-1023	Zoologists and Wildlife Biologists	false
19-1031	Conservation Scientists	false
19-1032	Foresters	false
19-1041	Epidemiologists	false
19-1042	Medical Scientists, Except Epidemiologists	false
19-2011	Astronomers	false
19-2012	Physicists	false
19-2021	Atmospheric and Space Scientists	false
19-2031	Chemists	false
19-2032	Materials Scientists	false
19-2043	Hydrologists	false
19-3011	Economists	false
19-3022	Survey Researchers	false
19-3032	Industrial-Organizational Psychologists	false
19-3033 | 19-3034	Clinical and Counseling Psychologists	false
19-3041	Sociologists	false
19-3051	Urban and Regional Planners	false
19-3091	Anthropologists and Archeologists	false
19-3092	Geographers	false
19-3093	Historians	false
19-3094	Political Scientists	false
19-4012 | 19-4013	Agricultural and Food Science Technicians	false
19-4031	Chemical Technicians	false
19-4042	Environmental Science and Protection Technicians, Including Health	false
19-4043 | 19-4044	Geological Technicians, Except Hydrologic Technicians	false
19-4051	Nuclear Technicians	false
19-4061	Social Science Research Assistants	false
19-4071	Forest and Conservation Technicians	false
19-4092	Forensic Science Technicians	false
19-5011	Occupational Health and Safety Specialists	false
19-5012	Occupational Health and Safety Technicians	false
21-1012	Educational, Guidance, and Career Counselors and Advisors	false
21-1013	Marriage and Family Therapists	false
21-1015	Rehabilitation Counselors	false
21-1011 | 21-1014	Substance Abuse, Behavioral Disorder, and Mental Health Counselors	false
21-1021	Child, Family, and School Social Workers	false
21-1022	Healthcare Social Workers	false
21-1023	Mental Health and Substance Abuse Social Workers	false
21-1091	Health Education Specialists	false
21-1092	Probation Officers and Correctional Treatment Specialists	false
21-1093	Social and Human Service Assistants	false
21-1094 | 21-1099	Community Health Workers	false
21-2011	Clergy	false
21-2021	Directors, Religious Activities and Education	false
23-1011	Lawyers	false
23-1012	Judicial Law Clerks	false
23-1022	Arbitrators, Mediators, and Conciliators	false
23-2093	Title Examiners, Abstractors, and Searchers	false
25-1194	Career/Technical Education Teachers, Postsecondary	false
25-2011	Preschool Teachers, Except Special Education	false
25-3011	Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	false
25-3021	Self-Enrichment Teachers	false
25-3031	Substitute Teachers, Short-Term	false
25-3041	Tutors	false
25-4011	Archivists	false
25-4012	Curators	false
25-4013	Museum Technicians and Conservators	false
25-4022	Librarians and Media Collections Specialists	false
25-4031	Library Technicians	false
25-9021	Farm and Home Management Educators	false
25-9031	Instructional Coordinators	false
27-1011	Art Directors	false
27-1012	Craft Artists	false
27-1013	Fine Artists, Including Painters, Sculptors, and Illustrators	false
27-1014	Special Effects Artists and Animators	false
27-1021	Commercial and Industrial Designers	false
27-1022	Fashion Designers	false
27-1023	Floral Designers	false
27-1024	Graphic Designers	false
27-1025	Interior Designers	false
27-1026	Merchandise Displayers and Window Trimmers	false
27-1027	Set and Exhibit Designers	false
27-2011	Actors	false
27-2012	Producers and Directors	false
27-2031	Dancers	false
27-2032	Choreographers	false
27-2041	Music Directors and Composers	false
27-2042	Musicians and Singers	false
27-2091 | 27-2099	Miscellaneous Entertainers and Performers, Sports and Related Workers	false
27-3011	Broadcast Announcers and Radio Disc Jockeys	false
27-3023	News Analysts, Reporters, and Journalists	false
27-3031	Public Relations Specialists	false
27-3041	Editors	false
27-3042	Technical Writers	false
27-3043	Writers and Authors	false
27-3091	Interpreters and Translators	false
27-4011	Audio and Video Technicians	false
27-4012	Broadcast Technicians	false
27-4014	Sound Engineering Technicians	false
27-4015 | 27-4099	Lighting Technicians	false
27-4021	Photographers	false
27-4031	Camera Operators, Television, Video, and Film	false
27-4032	Film and Video Editors	false
29-1011	Chiropractors	false
29-1021	Dentists, General	false
29-1022	Oral and Maxillofacial Surgeons	false
29-1023	Orthodontists	false
29-1024	Prosthodontists	false
29-1031	Dietitians and Nutritionists	false
29-1041	Optometrists	false
29-1051	Pharmacists	false
29-1071	Physician Assistants	false
29-1081	Podiatrists	false
29-1122	Occupational Therapists	false
29-1123	Physical Therapists	false
29-1124	Radiation Therapists	false
29-1125	Recreational Therapists	false
29-1126	Respiratory Therapists	false
29-1127	Speech-Language Pathologists	false
29-1128 | 29-1129	Exercise Physiologists	false
29-1131	Veterinarians	false
29-1141 | 29-1151 | 29-1161 | 29-1171	Registered Nurses	false
29-1181	Audiologists	false
29-1211	Anesthesiologists	false
29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241	Cardiologists; Dermatologists; Emergency Medicine Physicians; Neurologists; Ophthalmologists, Except Pediatric; Physicians, Pathologists; Radiologists	false
29-1215	Family Medicine Physicians	false
29-1216	General Internal Medicine Physicians	false
29-1218	Obstetricians and Gynecologists	false
29-1221	Pediatricians, General	false
29-1223	Psychiatrists	false
29-1242 | 29-1243 | 29-1249	Orthopedic Surgeons, Except Pediatric; Pediatric Surgeons	false
29-1291 | 29-1299	Acupuncturists	false
29-1292	Dental Hygienists	false
29-2011 | 29-2012	Clinical Laboratory Technologists and Technicians	false
29-2031	Cardiovascular Technologists and Technicians	false
29-2033	Nuclear Medicine Technologists	false
29-2036 | 29-2057 | 29-2072 | 29-2092 | 29-2099	Health Technologists and Technicians, All Other; Medical Dosimetrists; Medical Records Specialists	false
29-2042 | 29-2043	Emergency Medical Technicians and Paramedics	false
29-2051	Dietetic Technicians	false
29-2052	Pharmacy Technicians	false
29-2053	Psychiatric Technicians	false
29-2055	Surgical Technologists	false
29-2056	Veterinary Technologists and Technicians	false
29-2061	Licensed Practical and Licensed Vocational Nurses	false
29-2081	Opticians, Dispensing	false
29-2091	Orthotists and Prosthetists	false
29-9092 | 29-9093 | 29-9099	Genetic Counselors	false
31-1121 | 31-1122	Home Health and Personal Care Aides	false
31-1131 | 31-1132	Nursing Assistants	false
31-1133	Psychiatric Aides	false
31-2011	Occupational Therapy Assistants	false
31-2012	Occupational Therapy Aides	false
31-2021	Physical Therapist Assistants	false
31-2022	Physical Therapist Aides	false
31-9011	Massage Therapists	false
31-9091	Dental Assistants	false
31-9092	Medical Assistants	false
31-9093	Medical Equipment Preparers	false
31-9095	Pharmacy Aides	false
31-9096	Veterinary Assistants and Laboratory Animal Caretakers	false
31-9097 | 31-9099	Phlebotomists	false
33-1011	First-Line Supervisors of Correctional Officers	false
33-1012	First-Line Supervisors of Police and Detectives	false
33-1021	First-Line Supervisors of Firefighting and Prevention Workers	false
33-1091 | 33-1099	Miscellaneous First-Line Supervisors, Protective Service Workers	false
33-2011	Firefighters	false
33-2021	Fire Inspectors and Investigators	false
33-2022	Forest Fire Inspectors and Prevention Specialists	false
33-3011	Bailiffs	false
33-3012	Correctional Officers and Jailers	false
33-3031	Fish and Game Wardens	false
33-3041	Parking Enforcement Workers	false
33-3051	Police and Sheriff's Patrol Officers	false
33-3052	Transit and Railroad Police	false
33-9011	Animal Control Workers	false
33-9021	Private Detectives and Investigators	false
33-9031	Gambling Surveillance Officers and Gambling Investigators	false
33-9032	Security Guards	false
33-9091	Crossing Guards and Flaggers	false
33-9092	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	false
33-9093	Transportation Security Screeners	false
33-9094 | 33-9099	Protective Service Workers, All Other; School Bus Monitors	false
35-1011	Chefs and Head Cooks	false
