component	occ_ttl
11-1011	Chief Executives
11-1021	General and Operations Managers
11-2011	Advertising and Promotions Managers
11-2021	Marketing Managers
11-2022	Sales Managers
11-2032 | 11-2033	Public Relations and Fundraising Managers
11-3012 | 11-3013	Administrative Services and Facilities Managers
11-3021	Computer and Information Systems Managers
11-3031	Financial Managers
11-3051	Industrial Production Managers
11-3061	Purchasing Managers
11-3071	Transportation, Storage, and Distribution Managers
11-3111	Compensation and Benefits Managers
11-3121	Human Resources Managers
11-3131	Training and Development Managers
11-9013	Farmers, Ranchers, and Other Agricultural Managers
11-9021	Construction Managers
11-9031	Education and Childcare Administrators, Preschool and Daycare
11-9033	Education Administrators, Postsecondary
11-9041	Architectural and Engineering Managers
11-9051	Food Service Managers
11-9071	Gambling Managers
11-9072 | 11-9179 | 11-9199	Entertainment and Recreation Managers, Except Gambling; Managers, All Other
11-9081	Lodging Managers
11-9111	Medical and Health Services Managers
11-9121	Natural Sciences Managers
11-9131	Postmasters and Mail Superintendents
11-9141	Property, Real Estate, and Community Association Managers
11-9151	Social and Community Service Managers
11-9161	Emergency Management Directors
11-9171 | 39-4031	Funeral Home Managers; Morticians, Undertakers, and Funeral Arrangers
13-1011	Agents and Business Managers of Artists, Performers, and Athletes
13-1021 | 13-1022 | 13-1023	Buyers and Purchasing Agents
13-1031	Claims Adjusters, Examiners, and Investigators
13-1032	Insurance Appraisers, Auto Damage
13-1041	Compliance Officers
13-1051	Cost Estimators
13-1071 | 13-1075	Human Resources Specialists
13-1074	Farm Labor Contractors
13-1081	Logisticians
13-1082 | 13-1199	Project Management Specialists
13-1111	Management Analysts
13-1121	Meeting, Convention, and Event Planners
13-1131 | 41-9099	Fundraisers; Sales and Related Workers, All Other
13-1141	Compensation, Benefits, and Job Analysis Specialists
13-1151	Training and Development Specialists
13-1161	Market Research Analysts and Marketing Specialists
13-2011	Accountants and Auditors
13-2022 | 13-2023	Property Appraisers and Assessors
13-2031	Budget Analysts
13-2041	Credit Analysts
13-2051 | 13-2054 | 13-2099	Financial and Investment Analysts
13-2052	Personal Financial Advisors
13-2053	Insurance Underwriters
13-2061	Financial Examiners
13-2071	Credit Counselors
13-2072	Loan Officers
13-2081	Tax Examiners and Collectors, and Revenue Agents
13-2082	Tax Preparers
15-1211	Computer Systems Analysts
15-1212 | 15-1241 | 15-1254 | 15-1255	Computer Network Architects; Information Security Analysts
15-1221	Computer and Information Research Scientists
15-1231 | 15-1232	Computer Network Support Specialists; Computer User Support Specialists
15-1242 | 15-1243	Database Administrators; Database Architects
15-1244	Network and Computer Systems Administrators
15-1251	Computer Programmers
15-1252 | 15-1253	Software Developers
15-2011	Actuaries
15-2021	Mathematicians
15-2031	Operations Research Analysts
15-2041	Statisticians
15-2051 | 15-2099	Data Scientists
17-1011	Architects, Except Landscape and Naval
17-1012	Landscape Architects
17-1021	Cartographers and Photogrammetrists
17-1022	Surveyors
17-2011	Aerospace Engineers
17-2021	Agricultural Engineers
17-2031	Bioengineers and Biomedical Engineers
17-2041	Chemical Engineers
17-2051	Civil Engineers
17-2061	Computer Hardware Engineers
