account	year	gfcf	volume
113FF	1997	148.2311597201686	172.424235151339
113FF	1998	151.4530765519606	169.50147751186768
113FF	1999	170.34435862530069	184.45774867946287
113FF	2000	195.31316635335392	193.9828143931868
113FF	2001	177.07282430996736	166.57012637350613
113FF	2002	208.78136930875976	200.68510285016117
113FF	2003	227.9288748224491	216.26896241088824
113FF	2004	270.42396355938666	257.2573912401749
113FF	2005	281.0351918311678	268.4621759484879
113FF	2006	560.008014385218	534.737701503313
113FF	2007	337.9535460214392	324.22681180885826
113FF	2008	324.01201752672114	306.20565172653886
113FF	2009	311.64022567029804	307.7759884250501
113FF	2010	323.07016520388515	323.52070699556344
113FF	2011	370.8059979175896	375.7312702143816
113FF	2012	414.8061082045031	415.5894117359821
113FF	2013	380.91448419437177	388.4660294184387
113FF	2014	403.7578769810902	413.30270143345035
113FF	2015	435.3030398589141	442.56503938054084
113FF	2016	446.82354915395825	453.1101292794608
113FF	2017	384.51084624494365	384.51084624494365
113FF	2018	379.0492895656756	372.69734929613566
113FF	2019	368.1455657460972	348.1003277999165
113FF	2020	391.90041961795555	383.0752159092848
113FF	2021	452.60365525361294	433.6775349207237
113FF	2022	497.22516735750287	467.4393201068896
113FF	2023	636.9743325217225	603.1132313717835
211	1997	798.9861338788415	929.3901045546509
211	1998	822.1358122818408	920.1083138735853
211	1999	845.3437722604526	915.3822900255872
211	2000	1103.7988242206484	1096.2804323126732
211	2001	1337.7145233762228	1258.3708317680528
211	2002	1215.9988744527113	1168.8440400270133
211	2003	1292.3869912220362	1226.2737393085688
211	2004	1490.7556291188948	1418.1727797932826
211	2005	1795.7063551173594	1715.3696386498957
211	2006	2222.286612549151	2122.006122681454
211	2007	2435.17454481878	2336.2645196644653
211	2008	2901.703199409793	2742.237544380535
211	2009	2466.6264159921343	2436.0410522243856
211	2010	2449.5537084583852	2452.9697661309488
211	2011	2716.701379773637	2752.7862708476746
211	2012	3335.6288213024113	3341.9276915064656
211	2013	3568.1702757187104	3638.908460593066
211	2014	3794.681376635849	3884.387533859194
211	2015	3795.561653043266	3858.881603479722
211	2016	3650.2999775844587	3701.65784208076
211	2017	3185.1953144180616	3185.1953144180616
211	2018	3512.401053917678	3453.541791253664
211	2019	3164.11057256672	2991.8272281059876
211	2020	2733.136314902351	2671.588831064256
211	2021	1963.4998145581908	1881.3939072536841
211	2022	2174.4104066052837	2044.1542158828988
211	2023	2292.604905629291	2170.7316642083524
212	1997	210.66633288854862	245.04956575269284
212	1998	219.4829313053716	245.63833229318868
212	1999	218.91814674800506	237.0559777858098
212	2000	209.0595452569129	207.6355615029401
212	2001	207.2158005157188	194.9252360603345
212	2002	192.65141440920064	185.18064635242007
212	2003	211.38178819213286	200.56835730217057
212	2004	214.2667237594194	203.83437051362648
212	2005	229.35743975318138	219.09639481415488
212	2006	276.0952759447543	263.6365006609769
212	2007	277.8462008455337	266.56086001724105
212	2008	283.60063662160695	268.01511385181516
212	2009	258.98297783537845	255.77167330405817
212	2010	280.53388995415935	280.9251122179876
212	2011	292.59122090070196	296.477596640792
212	2012	298.212846473704	298.7759798778536
212	2013	298.63359724829303	304.55394212521696
212	2014	326.6447810840284	334.3666541953056
212	2015	355.0759197941433	360.9995199613326
212	2016	290.0812587467809	294.1625545501719
212	2017	311.44050514397594	311.44050514397594
212	2018	337.81290181104663	332.15198268086607
212	2019	333.9444379287736	315.7614246266317
212	2020	300.4469463672981	293.6811829932137
212	2021	378.9404899659769	363.09467602070197
212	2022	436.920346063373	410.74700741743976
212	2023	466.01251815881386	441.2396251098223
213	1997	259.47775074942695	301.8275833247244
213	1998	281.4219092003773	314.9584709644983
213	1999	273.2863556333132	295.9287076587037
213	2000	245.2110169929949	243.54079187094135
213	2001	208.0046964490419	195.66734030937013
213	2002	255.47606285375022	245.56903769386275
213	2003	258.83275961248245	245.59193039031808
213	2004	273.1450312227305	259.84597384670894
213	2005	424.4957097814874	405.5045248468318
213	2006	605.7694828364023	578.4341876756878
213	2007	655.8645781778289	629.2251809882446
213	2008	683.7652144828602	646.1882948875311
213	2009	528.3256696624425	521.7746035221874
213	2010	573.3712271251653	574.1708295886202
213	2011	727.252877969522	736.9126959679937
213	2012	946.8879200337976	948.6759859205026
213	2013	953.4956022670309	972.3984412512116
213	2014	1102.530298606736	1128.5940827545369
213	2015	857.5319542190131	871.8378424649037
213	2016	681.7686656774412	691.3608041221439
213	2017	926.326250611776	926.326250611776
213	2018	1149.2952892976543	1130.035907389705
213	2019	1064.3324442443	1006.3803755959126
213	2020	671.1359093742898	656.0226029833296
213	2021	842.7901567962385	807.5479581578682
