year	fpcaf
1988	1.4755725614151833
1989	1.5050376992263854
1990	1.5001063618481396
1991	1.4797098055429083
1992	1.4511896654029428
1993	1.453198780032911
1994	1.4653729234268427
1995	1.4821286335798827
1996	1.493940263619485
1997	1.5196575883170587
1998	1.5574807485717108
1999	1.6022254481829237
2000	1.6665368597392511
2001	1.707188930828546
2002	1.7717771030435199
2003	1.8141667315710488
2004	1.8434888651774042
2005	1.8669199877187317
2006	1.8896878732862767
2007	1.9081516146013668
2008	1.929128807546182
2009	1.9423914131349735
2010	1.9509027024271801
2011	1.9935410957907003
2012	2.0175398884102758
2013	2.0473157918118736
2014	2.082729316163193
2015	2.10801747290196
2016	2.1398998283876134
2017	2.163003295857309
2018	2.1794805131271437
2019	2.187748840294189
2020	2.186004595671231
2021	2.1765075294736485
2022	2.184175940610321
2023	2.194385691166327
