account	component	year	tot_emp	labor	gfcf
113FF	11-3031	1997	0.0006283403148923874	11.468685429885953	17.428474841547477
113FF	11-3031	1998	0.0006283403148923874	11.433397167024765	17.807295978415407
113FF	11-3031	1999	0.0006283403148923874	12.500402799327516	20.028463477619603
113FF	11-3031	2000	0.000386985810520281	9.69684261900174	16.160145647656897
113FF	11-3031	2001	0.0002725620835857056	6.760426527887881	11.54132533608985
113FF	11-3031	2002	0.00019475676123649827	8.12938908017387	14.403465433984085
113FF	11-3031	2003	0.00012656091798852516	6.696307384733624	12.148218081757275
113FF	11-3031	2004	0.00011450069518279218	7.329087727724616	13.511091617968692
113FF	11-3031	2005	9.28135773004508e-5	5.461864401419278	10.196863821219056
113FF	11-3031	2006	0.00020451059478497985	10.67614534394151	20.174582389888016
113FF	11-3031	2007	8.504778875749229e-5	6.1852904836247555	11.802472023107047
113FF	11-3031	2008	8.747978686742836e-5	6.872813530583851	13.258542570742492
113FF	11-3031	2009	8.480736612551489e-5	6.932913606315205	13.466431856913276
113FF	11-3031	2010	6.674082313681869e-5	5.262879315937308	10.267365480010204
113FF	11-3031	2011	7.852537609522235e-5	6.528271538845128	13.014377597168558
113FF	11-3031	2012	9.347007659353498e-5	8.67846506625954	17.50914944135375
113FF	11-3031	2013	9.111156104474589e-5	8.95490951904678	18.333527672590943
113FF	11-3031	2014	8.23024740622506e-5	8.873254272331868	18.480586802755884
113FF	11-3031	2015	7.427581084426839e-5	8.459768372384335	17.833339545689554
113FF	11-3031	2016	7.33066171439742e-5	8.802828549939681	18.837171303341506
113FF	11-3031	2017	8.278741631272048e-5	10.061835743756728	21.76378387612068
113FF	11-3031	2018	7.939372067845543e-5	9.888086259732978	21.55089131520829
113FF	11-3031	2019	7.186661556151782e-5	9.442238599911217	20.657246546736793
113FF	11-3031	2020	6.501480892870043e-5	9.232774621856443	20.182887754174896
113FF	11-3031	2021	8.563556482239929e-5	10.833785648751865	23.57981603721199
113FF	11-3031	2022	0.00012019230769230769	15.786498596964645	34.48049042196877
113FF	11-3031	2023	0.0001640362868149621	24.405973423439217	53.556118859380675
113FF	11-3051	1997	0.0001733352592806586	3.994345557779365	6.070037537239946
113FF	11-3051	1998	0.0001733352592806586	3.9820552637554285	6.201974413047727
113FF	11-3051	1999	0.0001733352592806586	4.353674943584456	6.9755687877273695
113FF	11-3051	2000	0.00014332807797047442	5.670087038298053	9.449409047253468
113FF	11-3051	2001	0.00012113870381586914	4.1288697587051075	7.048760748894089
113FF	11-3051	2002	8.840023205060914e-5	3.1611891118529463	5.60092248677153
113FF	11-3051	2003	7.593655079311508e-5	3.2560207730140744	5.906964563706383
113FF	11-3051	2004	5.725034759139609e-5	2.596667644667331	4.786927889510661
113FF	11-3051	2005	4.7143404343086126e-5	2.0848300899451027	3.8922109659159534
113FF	11-3051	2006	0.00011361699710276657	4.95115006382282	9.356128234426558
113FF	11-3051	2007	5.1298666234677896e-5	2.8603155442109203	5.4579157239554545
113FF	11-3051	2008	5.56689552792726e-5	3.298663342267429	6.363546479964668
113FF	11-3051	2009	6.192283875831247e-5	3.833893882225333	7.446922555705195
113FF	11-3051	2010	6.674082313681868e-5	4.06319712351362	7.926902248757067
113FF	11-3051	2011	7.163718520967653e-5	4.525124836778036	9.0210223257002
113FF	11-3051	2012	9.347007659353498e-5	6.160638781603994	12.429334479973338
113FF	11-3051	2013	0.00010376594452318283	7.251763429436643	14.846649787569469
113FF	11-3051	2014	0.00011721867517956903	9.109045663380048	18.971676445390827
113FF	11-3051	2015	0.00010893785590492696	8.653469139164168	18.24166414657595
113FF	11-3051	2016	9.529860228716645e-5	7.678876375982295	16.43202623917421
113FF	11-3051	2017	8.638686919588223e-5	7.665621910083354	16.580765456306295
113FF	11-3051	2018	8.66113316492241e-5	8.322436582394133	18.138588353064478
113FF	11-3051	2019	8.623993867382138e-5	7.873644621042328	17.225556888573934
113FF	11-3051	2020	5.2975029497459597e-5	4.702077850129576	10.278763789587154
113FF	11-3051	2021	6.453694740238786e-5	6.350375304026554	13.821639664197304
113FF	11-3051	2022	1.214063714063714e-5	1.061328515772068	2.3181282092330124
113FF	11-3051	2023	0.00015160929538958617	13.134225377863938	28.821556233738267
113FF	13-1081	2006	0.00011361699710276657	3.747210675452607	7.08105857205167
113FF	13-1081	2016	2.9322646857589677e-5	1.6790986904346012	3.5931029995068697
113FF	13-1081	2017	2.879562306529408e-5	1.6336107685900703	3.533505476608314
113FF	13-1081	2018	4.330566582461205e-5	2.6068547388329018	5.681589103839459
113FF	13-1081	2019	3.3537753928708324e-5	2.097965398700494	4.589821367984341
113FF	13-1081	2020	3.8527294179970625e-5	2.4888940195939155	5.440733764970942
113FF	13-1081	2021	2.9786283416486707e-5	1.7461877603896152	3.8005908083627244
113FF	13-1081	2022	3.885003885003885e-5	2.215098134807767	4.838164052137922
113FF	13-1081	2023	0.00010935752454330806	7.126510815775549	15.638313362079932
113FF	13-1161	2005	1.7678776628657295e-5	0.5834329789908086	1.0892226899722235
113FF	13-1161	2006	2.8404249275691642e-5	0.9534227075578247	1.8016713285877894
113FF	13-1161	2007	1.3499649009125763e-5	0.5140811832931994	0.9809448399370997
113FF	13-1161	2011	1.377638177109164e-5	0.6336508773336269	1.2632090643484173
113FF	13-1161	2012	1.2981955082435417e-5	0.6320368147700627	1.2751594847423784
113FF	13-1161	2013	1.5185260174124316e-5	0.6273986728515663	1.284483210690823
113FF	13-1161	2014	1.745810055865922e-5	0.9160347555993039	1.907852440111056
113FF	13-1161	2015	2.475860361475613e-5	1.4049562076253006	2.961672234336208
113FF	13-1161	2016	2.6879092952790533e-5	1.7434917837342432	3.730897768808121
113FF	13-1161	2017	3.359489357617642e-5	2.0106703804977615	4.349086659899328
113FF	13-1161	2018	3.368218453025382e-5	2.0411077081871465	4.448554475187491
113FF	13-1161	2019	2.6351092372556536e-5	1.5170046657860905	3.3188251982943933
113FF	13-1161	2020	2.1671602976233474e-5	1.2838341796624229	2.8064674168218615
113FF	13-1161	2021	3.226847370119393e-5	1.9664702445102322	4.280037293662407
113FF	13-1161	2022	3.885003885003885e-5	2.4536136229455328	5.359123842791356
