account	avg_adj	avg_pub	avg_Δ	cum_adj	cum_pub	cum_Δ
GDP	2.22	2.15	0.07	46.64	45.11	1.53
PVT	2.64	2.58	0.06	68.59	67.0	1.59
11	2.1	2.09	0.01	54.53	54.36	0.17
21	2.79	2.79	0.0	72.67	72.66	0.0
22	1.3	1.28	0.03	33.92	33.21	0.71
23	0.13	0.07	0.06	3.43	1.77	1.66
31G	1.98	1.95	0.03	51.52	50.81	0.72
42	1.9	1.85	0.05	49.37	48.04	1.34
44RT	2.48	2.48	0.0	64.6	64.58	0.02
48TW	1.88	1.84	0.04	48.88	47.97	0.92
51	6.63	6.6	0.03	172.33	171.67	0.65
52	2.44	2.34	0.1	63.56	60.91	2.65
53	2.62	2.61	0.01	68.11	67.89	0.22
54	4.18	4.07	0.11	108.74	105.82	2.92
55	3.29	3.0	0.29	85.61	78.02	7.59
56	3.3	3.29	0.01	85.87	85.48	0.38
61	2.1	1.96	0.14	54.51	50.83	3.68
62	2.99	2.95	0.04	77.83	76.8	1.03
71	2.21	2.15	0.06	57.58	55.91	1.67
72	1.69	1.68	0.01	43.97	43.74	0.22
81	-0.24	-0.33	0.1	-6.16	-8.71	2.55
G	0.61	0.49	0.12	12.82	10.34	2.48
