account	year	value
111CA	1988	35987
111CA	1989	38498
111CA	1990	43465
111CA	1991	49907
111CA	1992	50099
111CA	1993	50723
111CA	1994	54486
111CA	1995	52066
111CA	1996	56203
111CA	1997	59193
111CA	1998	61630
111CA	1999	64368
111CA	2000	67801
111CA	2001	66482
111CA	2002	63611
111CA	2003	63788
111CA	2004	82853
111CA	2005	80924
111CA	2006	80931
111CA	2007	89402
111CA	2008	93525
111CA	2009	95479
111CA	2010	85544
111CA	2011	82572
111CA	2012	99519
111CA	2013	101955
111CA	2014	103194
111CA	2015	90774
111CA	2016	91576
111CA	2017	91427
111CA	2018	82347
111CA	2019	81299
111CA	2020	73303
111CA	2021	73983
111CA	2022	96800
111CA	2023	97944
113FF	1988	9868
113FF	1989	10609
113FF	1990	11153
113FF	1991	11766
113FF	1992	11564
113FF	1993	12291
113FF	1994	13183
113FF	1995	12660
113FF	1996	12556
113FF	1997	12350
113FF	1998	12312
113FF	1999	13461
113FF	2000	13309
113FF	2001	13126
113FF	2002	13249
113FF	2003	14293
113FF	2004	16775
113FF	2005	16133
113FF	2006	19410
113FF	2007	19636
113FF	2008	19730
113FF	2009	19552
113FF	2010	19810
113FF	2011	21038
113FF	2012	23152
113FF	2013	23504
113FF	2014	25137
113FF	2015	26947
113FF	2016	28221
113FF	2017	28939
113FF	2018	30635
113FF	2019	30813
113FF	2020	32941
113FF	2021	33629
113FF	2022	34247
113FF	2023	37229
211	1988	12430
211	1989	11606
211	1990	11999
211	1991	12838
211	1992	12656
211	1993	13060
211	1994	12380
211	1995	11863
211	1996	11270
211	1997	12295
211	1998	12344
211	1999	12338
211	2000	13358
211	2001	14099
211	2002	13250
211	2003	13654
211	2004	15578
211	2005	17199
211	2006	20896
211	2007	22581
211	2008	27291
211	2009	25867
211	2010	27581
211	2011	30627
211	2012	34979
211	2013	36432
211	2014	39296
211	2015	38814
211	2016	33722
211	2017	29294
211	2018	29839
211	2019	30827
211	2020	27158
211	2021	23558
211	2022	26315
211	2023	29026
212	1988	12617
212	1989	12473
212	1990	12897
212	1991	13577
212	1992	12951
212	1993	12864
212	1994	12412
212	1995	13019
212	1996	13286
212	1997	13837
212	1998	14066
212	1999	13638
212	2000	13117
212	2001	13239
212	2002	12358
212	2003	12519
212	2004	13458
212	2005	14379
212	2006	15756
212	2007	16262
212	2008	17525
212	2009	16014
212	2010	16776
212	2011	18201
212	2012	18912
212	2013	18562
212	2014	18454
212	2015	18055
212	2016	16383
212	2017	17622
212	2018	19021
212	2019	18996
212	2020	17218
212	2021	18358
212	2022	20364
212	2023	22347
213	1988	7167
213	1989	9079
213	1990	8246
213	1991	9187
213	1992	10569
213	1993	8698
213	1994	9632
213	1995	9509
213	1996	9341
213	1997	9445
213	1998	9995
213	1999	9435
213	2000	9989
213	2001	12346
213	2002	10730
213	2003	11340
213	2004	13032
213	2005	16124
213	2006	21028
213	2007	25240
213	2008	29043
213	2009	23866
213	2010	26202
213	2011	33038
213	2012	38011
213	2013	39845
213	2014	44812
213	2015	36301
213	2016	25466
213	2017	30831
213	2018	36567
213	2019	37321
213	2020	24065
213	2021	24219
213	2022	32031
213	2023	36692
22	1988	32452
22	1989	32774
22	1990	34353
22	1991	36446
22	1992	38812
22	1993	41234
22	1994	41887
22	1995	42153
22	1996	41595
22	1997	42111
22	1998	43093
22	1999	47187
22	2000	50214
22	2001	53904
22	2002	54652
22	2003	52935
22	2004	55634
22	2005	56130
22	2006	60885
22	2007	63083
22	2008	66284
22	2009	66832
22	2010	67652
22	2011	71184
22	2012	69760
22	2013	72778
22	2014	75188
22	2015	77628
22	2016	81409
22	2017	81578
22	2018	84491
22	2019	87943
22	2020	93031
22	2021	94187
22	2022	96561
22	2023	97381
23	1988	214141
23	1989	232929
23	1990	243043
23	1991	253279
23	1992	239143
23	1993	244169
23	1994	255195
23	1995	269481
23	1996	279309
23	1997	298583
23	1998	326770
23	1999	356377
23	2000	392247
23	2001	407972
23	2002	406716
23	2003	420560
23	2004	454056
23	2005	486505
23	2006	524473
23	2007	548214
23	2008	536803
23	2009	458441
23	2010	432005
23	2011	435497
23	2012	452860
23	2013	478700
23	2014	521817
23	2015	563166
23	2016	592863
23	2017	627322
23	2018	674425
23	2019	724725
23	2020	681238
23	2021	746904
23	2022	833451
23	2023	873152
311FT	1988	48784
311FT	1989	50643
311FT	1990	52300
311FT	1991	55188
311FT	1992	57703
311FT	1993	59880
311FT	1994	61182
311FT	1995	62293
311FT	1996	63252
311FT	1997	64374
311FT	1998	68933
311FT	1999	71150
311FT	2000	73347
311FT	2001	75239
311FT	2002	76197
311FT	2003	79215
311FT	2004	81070
311FT	2005	81529
311FT	2006	82457
311FT	2007	85743
311FT	2008	87889
311FT	2009	87834
311FT	2010	89925
311FT	2011	90172
311FT	2012	94363
311FT	2013	96840
311FT	2014	101771
311FT	2015	105843
311FT	2016	109901
311FT	2017	115921
311FT	2018	120186
311FT	2019	123926
311FT	2020	128464
311FT	2021	134249
311FT	2022	152652
311FT	2023	155977
313TT	1988	17267
313TT	1989	18157
313TT	1990	18906
313TT	1991	18712
313TT	1992	18989
313TT	1993	20202
313TT	1994	20782
313TT	1995	21444
313TT	1996	21082
313TT	1997	20918
313TT	1998	21400
313TT	1999	21230
313TT	2000	20993
313TT	2001	19110
313TT	2002	18570
313TT	2003	17634
313TT	2004	17202
313TT	2005	16219
313TT	2006	15699
313TT	2007	15669
313TT	2008	14732
313TT	2009	12214
313TT	2010	11747
313TT	2011	11601
313TT	2012	11831
313TT	2013	12373
313TT	2014	12695
313TT	2015	12967
313TT	2016	13070
313TT	2017	13195
313TT	2018	13070
313TT	2019	13021
313TT	2020	11764
313TT	2021	12606
313TT	2022	13876
313TT	2023	13155
315AL	1988	17222
315AL	1989	18043
315AL	1990	18611
315AL	1991	18648
315AL	1992	19097
315AL	1993	19954
315AL	1994	20248
315AL	1995	20359
315AL	1996	19569
315AL	1997	19069
315AL	1998	19174
315AL	1999	18157
315AL	2000	17096
315AL	2001	15648
315AL	2002	14098
315AL	2003	13484
315AL	2004	12705
315AL	2005	12451
315AL	2006	12225
315AL	2007	10939
315AL	2008	10760
315AL	2009	9127
315AL	2010	9685
315AL	2011	8944
315AL	2012	9543
315AL	2013	9225
315AL	2014	9240
315AL	2015	9471
315AL	2016	9116
315AL	2017	8948
315AL	2018	8532
315AL	2019	8295
315AL	2020	7311
315AL	2021	7666
315AL	2022	9615
315AL	2023	9218
321	1988	14456
321	1989	15550
321	1990	15874
321	1991	15556
321	1992	15013
321	1993	16024
321	1994	17314
321	1995	18921
321	1996	19460
321	1997	20265
321	1998	21690
321	1999	22898
321	2000	23387
321	2001	23116
321	2002	22560
321	2003	22589
321	2004	24165
321	2005	26290
321	2006	25674
321	2007	25073
321	2008	22793
321	2009	17593
321	2010	17078
321	2011	17552
321	2012	17871
321	2013	18656
321	2014	20131
321	2015	21436
321	2016	22031
321	2017	23309
321	2018	24960
321	2019	26734
321	2020	25985
321	2021	29093
321	2022	32871
321	2023	34092
322	1988	23500
322	1989	24820
322	1990	26112
322	1991	27036
322	1992	27699
322	1993	29331
322	1994	29869
322	1995	30489
322	1996	31593
322	1997	31656
322	1998	31894
322	1999	32706
322	2000	33240
322	2001	32611
322	2002	31980
322	2003	31824
322	2004	31316
322	2005	31314
322	2006	31081
322	2007	31376
322	2008	31216
322	2009	28472
322	2010	28906
322	2011	29194
322	2012	29123
322	2013	29353
322	2014	29785
322	2015	30172
322	2016	29958
322	2017	30386
322	2018	31316
322	2019	32452
322	2020	31764
322	2021	32198
322	2022	34609
322	2023	35560
323	1988	23895
323	1989	26971
323	1990	28056
323	1991	29844
323	1992	29571
323	1993	31369
323	1994	32235
323	1995	33590
323	1996	34727
323	1997	35018
323	1998	36323
323	1999	36916
323	2000	37499
323	2001	36838
323	2002	34935
323	2003	34478
323	2004	34695
323	2005	34651
323	2006	34485
323	2007	35168
323	2008	33789
323	2009	28869
323	2010	28190
323	2011	27261
323	2012	26580
323	2013	26765
323	2014	27357
323	2015	27162
323	2016	27215
323	2017	27302
323	2018	27411
323	2019	27736
323	2020	24084
323	2021	25219
323	2022	27301
323	2023	27954
324	1988	8508
324	1989	8017
324	1990	8523
324	1991	8872
324	1992	9289
324	1993	9565
324	1994	9694
324	1995	9926
324	1996	10126
324	1997	10586
324	1998	10656
324	1999	11065
324	2000	11084
324	2001	12083
324	2002	11235
324	2003	12167
324	2004	12527
324	2005	13466
324	2006	15610
324	2007	15770
324	2008	16349
324	2009	16464
324	2010	16444
324	2011	16913
324	2012	17959
324	2013	18595
324	2014	19061
324	2015	19815
324	2016	19421
324	2017	19429
324	2018	19903
324	2019	20956
324	2020	19893
324	2021	18871
324	2022	20271
324	2023	21465
325	1988	43597
325	1989	48161
325	1990	51437
325	1991	54041
325	1992	57066
325	1993	60725
325	1994	61483
325	1995	62080
325	1996	62731
325	1997	64787
325	1998	67314
325	1999	70345
325	2000	74705
325	2001	75084
325	2002	74247
325	2003	76531
325	2004	78423
325	2005	81555
325	2006	82746
325	2007	86440
325	2008	87191
325	2009	84633
325	2010	86778
325	2011	87318
325	2012	90702
325	2013	92691
325	2014	98208
325	2015	101665
325	2016	99988
325	2017	103092
325	2018	105445
325	2019	111294
325	2020	114453
325	2021	116410
325	2022	127930
325	2023	132577
326	1988	22987
326	1989	24453
326	1990	26012
326	1991	27079
326	1992	27549
326	1993	29630
326	1994	31375
326	1995	33272
326	1996	34563
326	1997	34651
326	1998	36774
326	1999	38777
326	2000	40305
326	2001	38892
326	2002	38737
326	2003	38880
326	2004	39274
326	2005	40356
326	2006	40985
326	2007	40610
326	2008	39980
326	2009	34491
326	2010	36098
326	2011	37729
326	2012	39039
326	2013	40030
326	2014	42101
326	2015	43560
326	2016	44897
326	2017	47155
326	2018	49309
326	2019	50626
326	2020	49795
326	2021	53772
326	2022	58670
326	2023	60592
327	1988	18040
327	1989	18914
327	1990	19413
327	1991	19491
327	1992	18755
327	1993	19656
327	1994	20237
327	1995	21230
327	1996	22140
327	1997	23132
327	1998	24186
327	1999	25367
327	2000	26847
327	2001	27078
327	2002	26801
327	2003	26713
327	2004	27375
327	2005	29029
327	2006	30254
327	2007	30731
327	2008	28659
327	2009	23488
327	2010	23324
327	2011	23611
327	2012	24834
327	2013	25110
327	2014	26424
327	2015	27986
327	2016	29102
327	2017	30570
327	2018	31404
327	2019	32853
327	2020	31896
327	2021	33453
327	2022	36430
327	2023	38748
331	1988	26629
331	1989	29601
331	1990	30715
331	1991	30367
331	1992	29393
331	1993	31894
331	1994	31544
331	1995	33186
331	1996	32318
331	1997	32433
331	1998	33265
331	1999	33679
331	2000	34422
331	2001	31665
331	2002	29314
331	2003	28570
331	2004	30053
331	2005	30701
331	2006	31977
331	2007	32497
331	2008	33007
331	2009	25596
331	2010	26684
331	2011	29685
331	2012	31221
331	2013	30869
