component	rnd	software
15-1221	0.4901	0.88
15-1212 | 15-1241 | 15-1254	0.1943	0.7267
15-1231 | 15-1232	0.138	0.54
15-1211	0.1781	0.79
15-1242 | 15-1243	0.1058	0.74
15-1244	0.2042	0.75
15-1252	0.1137	0.95
15-2021	0.5616	0.34
15-2031	0.4086	0.55
15-2041	0.6164	0.78
19-4012 | 19-4013	0.6509	0.15
19-1021	0.8067	0.21
19-1023	0.6857	0.19
19-1042	0.6876	0.21
19-1031	0.3856	0.1
19-1032	0.3856	0.1
19-2031	0.5364	0.12
19-2021	0.6288	0.45
19-4043 | 19-4044	0.5278	0.29
19-2012	0.8266	0.65
19-2011	0.4986	0.33
19-3011	0.4952	0.42
19-3094	0.2921	0.07
19-3032	0.1113	0.07
19-3091	0.5695	0.09
17-2011	0.6041	0.43
17-2041	0.4959	0.24
17-2051	0.4401	0.16
17-2061	0.5031	0.78
17-2071	0.5538	0.52
17-2072	0.5538	0.52
17-2112	0.2591	0.29
17-2141	0.6255	0.22
17-2031	0.6488	0.36
17-2081	0.4021	0.245
17-2121	0.5244	0.3
17-2131	0.5513	0.13
17-2161	0.602	0.62
17-2171	0.4252	0.22
41-9031	0.143	0.26
17-2021	0.4497	0.32
17-2151	0.4497	0.32
17-2111	0.4497	0.32
29-1215	0.0267	0.03
29-1216	0.0267	0.03
29-1218	0.0267	0.03
29-1221	0.0267	0.03
29-1223	0.0267	0.03
29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241	0.0267	0.03
29-1242 | 29-1243 | 29-1249	0.0267	0.03
29-1051	0.0257	0.06
29-1071	0.0257	0.06
29-1141 | 29-1151 | 29-1161 | 29-1171	0.0257	0.06
29-2061	0.0257	0.06
29-1122	0.0257	0.06
29-1123	0.0257	0.06
29-1124	0.0257	0.06
29-1125	0.0257	0.06
29-1126	0.0257	0.06
29-1292	0.0457	0.09
29-2036 | 29-2057 | 29-2072 | 29-2092	0.0457	0.09
29-2034 | 29-2035	0.0457	0.09
29-2011 | 29-2012	0.0457	0.09
11-3021	0.0491	0.65
11-9111	0.0207	0.05
11-9121	0.2089	0.12
19-1012	0.4729	0.15
29-2056	0.4729	0.15
15-1251	0.0807	0.93
17-3031	0.2687	0.45
17-1021	0.252	0.32
17-1022	0.252	0.32
17-1011	0.5095	0.18
17-1012	0.5095	0.18
15-2011	0.2231	0.51
13-2011	0.0357	0.13
13-2054 | 13-2099	0.0357	0.13
13-1071 | 13-1075	0.0719	0.08
13-1141	0.0719	0.08
13-1151	0.0719	0.08
21-1011 | 21-1014	0.0211	0.05
21-1012	0.0211	0.05
21-1015	0.0211	0.05
21-1021	0.031	0.06
21-1022	0.031	0.06
21-1023	0.031	0.06
13-2053	0.0252	0.09
13-2022 | 13-2023	0.0252	0.09
41-9021	0.0252	0.09
41-9022	0.0252	0.09
43-9041	0.0252	0.09
19-3093	0.2881	0.01
43-3031	0.0079	0.07
43-6012	0.0263	0.09
43-6013	0.0263	0.09
43-6014	0.0263	0.09
43-9022	0.0263	0.09
23-1011	0.0184	0.03
23-1012	0.0184	0.03
23-1021	0.0184	0.03
23-1022	0.0184	0.03
23-1023	0.0184	0.03
23-2011	0.0184	0.03
25-4011	0.1659	0.15
25-4012	0.1659	0.15
25-4013	0.1659	0.15
25-4022	0.1659	0.15
25-4031	0.1659	0.15
