component	lightcast	refined	occ_ttl
11-1011	10	0	Chief Executives
11-1021	0	0	General and Operations Managers
11-2011	0	0	Advertising and Promotions Managers
11-2021	0	0	Marketing Managers
11-2022	0	0	Sales Managers
11-2032 | 11-2033	0	0	Public Relations and Fundraising Managers
11-3012 | 11-3013	15	0	Administrative Services and Facilities Managers
11-3021	25	0	Computer and Information Systems Managers
11-3031	15	15	Financial Managers
11-3051	10	10	Industrial Production Managers
11-3061	10	0	Purchasing Managers
11-3071	10	0	Transportation, Storage, and Distribution Managers
11-3111	25	0	Compensation and Benefits Managers
11-3121	15	0	Human Resources Managers
11-3131	10	0	Training and Development Managers
11-9013	30	0	Farmers, Ranchers, and Other Agricultural Managers
11-9021	0	0	Construction Managers
11-9031	0	0	Education and Childcare Administrators, Preschool and Daycare
11-9033	20	0	Education Administrators, Postsecondary
11-9041	20	0	Architectural and Engineering Managers
11-9051	0	0	Food Service Managers
11-9071	0	0	Gambling Managers
11-9081	0	0	Lodging Managers
11-9111	15	0	Medical and Health Services Managers
11-9121	30	0	Natural Sciences Managers
11-9131	0	0	Postmasters and Mail Superintendents
11-9141	0	0	Property, Real Estate, and Community Association Managers
11-9151	10	0	Social and Community Service Managers
11-9161	0	0	Emergency Management Directors
11-9171 | 39-4031	30	0	Funeral Home Managers; Morticians, Undertakers, and Funeral Arrangers
13-1011	10	0	Agents and Business Managers of Artists, Performers, and Athletes
13-1021 | 13-1022 | 13-1023	10	0	Buyers and Purchasing Agents
13-1031	20	0	Claims Adjusters, Examiners, and Investigators
13-1032	0	0	Insurance Appraisers, Auto Damage
13-1041	30	0	Compliance Officers
13-1051	0	0	Cost Estimators
13-1071 | 13-1075	15	0	Human Resources Specialists
13-1074	0	0	Farm Labor Contractors
13-1081	20	20	Logisticians
13-1082 | 13-1199	25	0	Project Management Specialists
13-1111	20	0	Management Analysts
13-1121	0	0	Meeting, Convention, and Event Planners
13-1131 | 41-9099	10	0	Fundraisers; Sales and Related Workers, All Other
13-1141	20	0	Compensation, Benefits, and Job Analysis Specialists
13-1151	10	0	Training and Development Specialists
13-1161	10	10	Market Research Analysts and Marketing Specialists
13-2011	30	30	Accountants and Auditors
13-2022 | 13-2023	15	15	Property Appraisers and Assessors
13-2031	10	0	Budget Analysts
13-2041	10	0	Credit Analysts
13-2052	0	0	Personal Financial Advisors
13-2053	0	0	Insurance Underwriters
13-2061	35	0	Financial Examiners
13-2071	10	0	Credit Counselors
13-2072	0	0	Loan Officers
13-2081	10	10	Tax Examiners and Collectors, and Revenue Agents
13-2082	0	0	Tax Preparers
15-1211	30	0	Computer Systems Analysts
15-1212 | 15-1241 | 15-1254 | 15-1255	25	0	Computer Network Architects; Information Security Analysts
15-1221	20	0	Computer and Information Research Scientists
15-1231 | 15-1232	15	0	Computer Network Support Specialists; Computer User Support Specialists
15-1242 | 15-1243	75	70	Database Administrators; Database Architects
15-1244	20	0	Network and Computer Systems Administrators
15-1251	30	0	Computer Programmers
15-1252 | 15-1253	25	15	Software Developers
15-2011	10	10	Actuaries
15-2021	0	0	Mathematicians
15-2031	30	20	Operations Research Analysts
15-2041	45	20	Statisticians
15-2051 | 15-2099	40	40	Data Scientists
17-1011	0	0	Architects, Except Landscape and Naval
17-1012	10	0	Landscape Architects
17-1021	35	25	Cartographers and Photogrammetrists
17-1022	15	10	Surveyors
17-2011	10	0	Aerospace Engineers
17-2021	0	0	Agricultural Engineers
17-2031	10	0	Bioengineers and Biomedical Engineers
17-2041	0	0	Chemical Engineers
17-2051	0	0	Civil Engineers
17-2061	10	0	Computer Hardware Engineers
17-2071	0	0	Electrical Engineers
17-2072	10	0	Electronics Engineers, Except Computer
17-2081	15	0	Environmental Engineers
17-2111	10	0	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors
17-2112	10	0	Industrial Engineers
17-2121	0	0	Marine Engineers and Naval Architects
17-2131	0	0	Materials Engineers
17-2141	10	0	Mechanical Engineers
17-2151	25	0	Mining and Geological Engineers, Including Mining Safety Engineers
17-2161	15	0	Nuclear Engineers
17-2171	0	0	Petroleum Engineers
17-3011	0	0	Architectural and Civil Drafters
17-3012	10	0	Electrical and Electronics Drafters
17-3013	0	0	Mechanical Drafters
17-3021	10	0	Aerospace Engineering and Operations Technologists and Technicians
17-3022	15	0	Civil Engineering Technologists and Technicians
17-3023	0	0	Electrical and Electronic Engineering Technologists and Technicians
17-3024	15	0	Electro-Mechanical and Mechatronics Technologists and Technicians
17-3025	30	0	Environmental Engineering Technologists and Technicians
17-3026	10	0	Industrial Engineering Technologists and Technicians
17-3027	0	0	Mechanical Engineering Technologists and Technicians
17-3031	20	15	Surveying and Mapping Technicians
19-1011	10	10	Animal Scientists
19-1012	0	0	Food Scientists and Technologists
19-1013	10	10	Soil and Plant Scientists
19-1021	0	0	Biochemists and Biophysicists
19-1022	20	20	Microbiologists
19-1023	25	10	Zoologists and Wildlife Biologists
19-1031	0	0	Conservation Scientists
19-1032	20	10	Foresters
19-1041	45	45	Epidemiologists
19-1042	0	0	Medical Scientists, Except Epidemiologists
19-2011	0	0	Astronomers
19-2012	10	0	Physicists
19-2021	0	0	Atmospheric and Space Scientists
19-2031	10	0	Chemists
19-2032	15	15	Materials Scientists
19-2041	20	20	Environmental Scientists and Specialists, Including Health
19-2042	30	30	Geoscientists, Except Hydrologists and Geographers
19-2043	15	15	Hydrologists
19-3011	20	10	Economists
19-3022	45	45	Survey Researchers
19-3032	15	15	Industrial-Organizational Psychologists
19-3041	55	55	Sociologists
19-3051	10	10	Urban and Regional Planners
19-3091	15	0	Anthropologists and Archeologists
19-3092	20	20	Geographers
19-3093	20	15	Historians
19-3094	0	0	Political Scientists
19-4012 | 19-4013	25	0	Agricultural and Food Science Technicians
19-4021	35	35	Biological Technicians
19-4031	10	10	Chemical Technicians
19-4042	15	15	Environmental Science and Protection Technicians, Including Health
19-4043 | 19-4044	40	0	Geological Technicians, Except Hydrologic Technicians
19-4051	10	10	Nuclear Technicians
19-4061	25	25	Social Science Research Assistants
19-4071	0	0	Forest and Conservation Technicians
19-4092	10	10	Forensic Science Technicians
