occ_code	naics	own	tot_emp	h_mean	occ_title	year
00-0000	1130		51870	19.04	Industry Total	2015
00-0000	1133		51870	19.04	Industry Total	2015
00-0000	1150		360280	12.81	Industry Total	2015
00-0000	1151		330780	12.47	Industry Total	2015
00-0000	1152		29500	16.68	Industry Total	2015
00-0000	2110		193680	42.82	Industry Total	2015
00-0000	2111		193680	42.82	Industry Total	2015
00-0000	2120		205390	25.54	Industry Total	2015
00-0000	2121		69460	27.8	Industry Total	2015
00-0000	2122		43380	28.58	Industry Total	2015
00-0000	2123		92550	22.42	Industry Total	2015
00-0000	2130		412240	27.07	Industry Total	2015
00-0000	2131		412240	27.07	Industry Total	2015
00-0000	2210		553890	35.14	Industry Total	2015
00-0000	2211		392570	36.18	Industry Total	2015
00-0000	2212		112830	36.43	Industry Total	2015
00-0000	2213		48490	23.78	Industry Total	2015
00-0000	2360		1404430	26.47	Industry Total	2015
00-0000	2361		680480	23.66	Industry Total	2015
00-0000	2362		723950	29.12	Industry Total	2015
00-0000	2370		948680	25.28	Industry Total	2015
00-0000	2371		481790	24.8	Industry Total	2015
00-0000	2372		40470	29.05	Industry Total	2015
00-0000	2373		316780	25.36	Industry Total	2015
00-0000	2379		109650	25.77	Industry Total	2015
00-0000	2380		4039960	23.89	Industry Total	2015
00-0000	2381		797940	22.29	Industry Total	2015
00-0000	2382		1895460	25.75	Industry Total	2015
00-0000	2383		727390	22.27	Industry Total	2015
00-0000	2389		619180	22.15	Industry Total	2015
00-0000	3110		1498370	17.12	Industry Total	2015
00-0000	3111		55880	19.97	Industry Total	2015
00-0000	3112		59440	22.21	Industry Total	2015
00-0000	3113		71930	18.44	Industry Total	2015
00-0000	3114		164750	18.22	Industry Total	2015
00-0000	3115		136650	20.23	Industry Total	2015
00-0000	3116		484720	14.54	Industry Total	2015
00-0000	3117		33480	15.58	Industry Total	2015
00-0000	3118		296840	16.07	Industry Total	2015
00-0000	3119		194690	19.42	Industry Total	2015
00-0000	3120		218740	21.05	Industry Total	2015
00-0000	3121		205430	20.68	Industry Total	2015
00-0000	3122		13310	26.71	Industry Total	2015
00-0000	3130		116850	17.59	Industry Total	2015
00-0000	3131		28470	15.83	Industry Total	2015
00-0000	3132		56040	17.87	Industry Total	2015
00-0000	3133		32340	18.64	Industry Total	2015
00-0000	3140		115910	16.77	Industry Total	2015
00-0000	3141		52190	16.77	Industry Total	2015
