occ_code	sic	tot_emp	h_mean	occ_title	year
00000	071	4970	12.18	Industry Total	1998
10000	071	380	22.89	Managerial & Administrative	1998
13099	071	60	17.81	Other Administrative Managers	1998
19005	071	290	24.34	General Managers & Top Executives	1998
19999	071	30	20.11	All Other Managers & Administrators	1998
20000	071	70	15.76	Professional/Paraprofessional & Technical Occupations	1998
21999	071	40	15.33	All Other Management Support	1998
24999	071	30	16.35	All Other Natural Scientists & Related Workers	1998
40000	071	90	15.86	Sales & Related Occupations	1998
43000	071	30	21.45	Sales Workers, Services	1998
49999	071	60	13.34	All Other Sales & Related	1998
50000	071	560	10.61	Clerical & Administrative Support	1998
51002	071	100	17.19	First Line Supervisors, Clerical & Administrative	1998
55108	071	140	9.11	Secretaries, Except Legal & Medical	1998
55305	071	30	6.92	Receptionists & Information Clerks	1998
55338	071	130	10.0	Bookkeeping, Accounting & Auditing Clerks	1998
55347	071	120	8.08	General Office Clerks	1998
59999	071	40	12.57	All Other Clerical & Administrative Support	1998
60000	071	30	8.01	Service Occupations	1998
69999	071	30	8.01	All Other Service Workers	1998
70000	071	2170	11.01	Agricultural, Forestry, Fishing & Related	1998
72002	071	230	19.91	First Line Supervisors, Agricultural/Forestry/Fishing	1998
79021	071	1070	11.1	Farm Equipment Operators	1998
79036	071	360	8.28	Sprayers/Applicators	1998
79041	071	120	8.3	Laborers, Landscaping & Groundskeeping	1998
79856	071	280	8.33	Farmworkers, Food & Fiber Crops	1998
79999	071	110	10.14	All Other Agricultural, Forestry & Fishing Workers	1998
80000	071	1670	11.46	Product/Construct/Operate Maintenance/Material Handling	1998
81000	071	80	16.47	First Line Supervisors-Product/Construct/Maintenance/Related	1998
81008	071	40	17.94	First Line Supervisors, Production & Operating	1998
81099	071	40	15.05	Other First Line Supervisors, Product/Construct/Maintain	1998
85000	071	130	14.1	Mechanics, Installers & Repairers	1998
85321	071	70	15.65	Farm Equipment Mechanics	1998
85999	071	60	12.13	Other Mechanics, Installers & Repairers	1998
87000	071	40	6.68	Construction Trade Workers, Except Material Moving	1998
87899	071	40	6.68	All Other Construction Trades	1998
92900	071	40	12.79	Other Machine Setters, Operators & Tenders	1998
92998	071	40	12.79	Other Machine Operators & Tenders	1998
97100	071	1060	11.42	Motor Vehicle Operators	1998
97102	071	830	11.97	Truck Drivers, Heavy or Tractor Trailer	1998
97105	071	230	9.46	Truck Drivers-Light, Include Delivery/Route Workers	1998
97900	071	150	8.61	Material Moving Equipment Operators	1998
97947	071	100	8.38	Industrial Truck & Tractor Operators	1998
97989	071	50	9.13	Other Material Moving Equipment Operators	1998
98000	071	120	8.27	Helpers, Laborers & Material Movers, Hand	1998
98999	071	120	8.27	Other Helpers, Laborers & Material Movers, Hand	1998
99999	071	40	17.18	Other Product/Construct/Maintenance/Material Handling	1998
00000	072	130440	8.42	Industry Total	1998
10000	072	4440	25.36	Managerial & Administrative	1998
13002	072	110	28.18	Financial Managers	1998
13005	072	280	17.35	Personnel, Training & Labor Relations Managers	1998
13011	072	570	25.0	Marketing/Advertising/Public Relations Managers	1998
13099	072	30	24.52	Other Administrative Managers	1998
15099	072	30	21.83	Other Services Managers	1998
19005	072	3320	26.19	General Managers & Top Executives	1998
19999	072	100	20.48	All Other Managers & Administrators	1998
20000	072	1240	17.77	Professional/Paraprofessional & Technical Occupations	1998
21100	072	340	19.44	Accountants, Auditors & Other Financial Specialists	1998
21114	072	340	19.44	Accountants & Auditors	1998
21305	072	40	18.31	Buyers, Farm Products	1998
21511	072	80	15.12	Personnel, Training & Labor Relations Specialists	1998
21999	072	60	13.39	All Other Management Support	1998
22100	072	50	25.69	Engineers	1998
22399	072	40	22.26	Other Architects, Surveying & Mapping Scientists	1998
24300	072	270	19.86	Life Scientists	1998
24305	072	230	18.61	Agricultural & Food Scientists	1998
24399	072	40	27.36	All Other Life Scientists	1998
24500	072	110	10.98	Physical & Life Science Technicians & Technologists	1998
24502	072	110	10.98	Biological/Agricultural/Food Technicians & Technologists	1998
24999	072	50	12.69	All Other Natural Scientists & Related Workers	1998
25100	072	60	19.43	Computer Scientists & Related	1998
31323	072	30	17.15	Farm/Home Management Advisors	1998
39999	072	100	15.13	Other Professional, Paraprofessional/Technicians	1998
40000	072	730	18.08	Sales & Related Occupations	1998
41002	072	70	21.17	First Line Supervisors, Sales & Related	1998
43000	072	80	22.13	Sales Workers, Services	1998
43017	072	80	22.13	Sales Agents, Business Services	1998
49005	072	90	25.11	Salespersons, Scientific Products & Services	1998
49008	072	320	18.7	Salespersons, Except Scientific & Retail	1998
49011	072	80	7.09	Salespersons, Retail	1998
49999	072	90	12.98	All Other Sales & Related	1998
50000	072	9630	9.99	Clerical & Administrative Support	1998
51002	072	1260	14.44	First Line Supervisors, Clerical & Administrative	1998
55108	072	1170	8.79	Secretaries, Except Legal & Medical	1998
55305	072	290	7.95	Receptionists & Information Clerks	1998
55307	072	40	9.56	Typists, Including Word Processing	1998
55323	072	350	12.85	Order Clerks, Materials, Merchandise & Service	1998
55338	072	1760	10.81	Bookkeeping, Accounting & Auditing Clerks	1998
55341	072	70	10.83	Payroll & Timekeeping Clerks	1998
55344	072	30	11.25	Billing, Cost & Rate Clerks	1998
55347	072	2100	8.32	General Office Clerks	1998
56000	072	240	8.82	Office Machine Operators, Data Processors	1998
56017	072	230	8.77	Data Entry Keyers, Except Composing	1998
58000	072	2200	8.95	Material Recording/Scheduling/Dispatching/Distributing	1998
58017	072	190	6.66	Weighers, Measurers, Checkers & Samplers, Recordkeeping	1998
58023	072	60	8.14	Stock Clerks, Stockroom, Warehouse or Storage Yard	1998
58028	072	1950	9.2	Traffic, Shipping, & Receiving Clerks	1998
59999	072	110	10.11	All Other Clerical & Administrative Support	1998
60000	072	1660	7.15	Service Occupations	1998
61099	072	30	9.26	Other Service Supervisors	1998
63047	072	240	7.22	Guards & Watch Guards	1998
67005	072	1310	7.02	Janitors & Cleaners	1998
67099	072	80	8.13	Other Cleaning & Building Service Workers	1998
70000	072	69970	6.9	Agricultural, Forestry, Fishing & Related	1998
72002	072	3160	14.3	First Line Supervisors, Agricultural/Forestry/Fishing	1998
79011	072	26840	6.16	Graders & Sorters, Agricultural Products	1998
79021	072	11610	7.48	Farm Equipment Operators	1998
79033	072	90	9.3	Pruners	1998
79036	072	590	7.51	Sprayers/Applicators	1998
79041	072	580	7.62	Laborers, Landscaping & Groundskeeping	1998
79856	072	24760	6.37	Farmworkers, Food & Fiber Crops	1998
79999	072	2340	7.76	All Other Agricultural, Forestry & Fishing Workers	1998
80000	072	42770	8.39	Product/Construct/Operate Maintenance/Material Handling	1998
81000	072	3360	12.08	First Line Supervisors-Product/Construct/Maintenance/Related	1998
81002	072	80	14.97	First Line Supervisors, Mechanics/Installers/Repairers	1998
81008	072	2850	11.77	First Line Supervisors, Production & Operating	1998
81011	072	120	15.83	First Line Supervisors, Transport/Moving Machines	1998
81017	072	240	12.66	First Line Supervisors, Helpers/Laborers/Movers-Hand	1998
81099	072	70	12.85	Other First Line Supervisors, Product/Construct/Maintain	1998
83000	072	250	7.83	Inspectors & Related	1998
85000	072	3430	11.13	Mechanics, Installers & Repairers	1998
85110	072	1750	11.05	Machinery Maintenance Mechanics	1998
85132	072	220	9.71	Maintenance Repairers, General Utility	1998
85302	072	150	12.13	Automotive Mechanics	1998
85311	072	40	12.03	Bus & Truck Mechanics & Diesel Engine Specialists	1998
85321	072	950	10.26	Farm Equipment Mechanics	1998
85323	072	270	15.64	Aircraft Mechanics	1998
85999	072	50	8.9	Other Mechanics, Installers & Repairers	1998
87000	072	130	11.2	Construction Trade Workers, Except Material Moving	1998
87202	072	40	15.27	Electricians	1998
87899	072	90	9.27	All Other Construction Trades	1998
89900	072	160	8.56	Precision Workers, NEC	1998
92900	072	3780	7.12	Other Machine Setters, Operators & Tenders	1998
92921	072	220	6.01	Roasting/Baking/Drying Machine Operators	1998
92958	072	50	8.36	Cleaning, Washing & Pickling Equipment Operators	1998
92962	072	390	7.64	Separating, Filtering & Still Machine Operators	1998
92965	072	330	8.31	Crushing/Grinding/Mixing/Blending Machine Operators	1998
92974	072	2110	6.79	Packaging & Filling Machine Operators	1998
92998	072	680	7.54	Other Machine Operators & Tenders	1998
93900	072	970	6.49	Other Hand Workers, NEC	1998
93935	072	600	6.05	Cannery Workers	1998
93956	072	60	6.35	Assemblers/Fabricators Except Machine/Electronic/Precision	1998
93999	072	310	7.36	Other Hand Workers, NEC	1998
97100	072	3900	9.11	Motor Vehicle Operators	1998
97102	072	2940	9.28	Truck Drivers, Heavy or Tractor Trailer	1998
97105	072	960	8.59	Truck Drivers-Light, Include Delivery/Route Workers	1998
