occ_code	component
11-1011	11-1011
11-3049	11-3121
11-3121	11-3121
17-3023	17-3023
17-3024	17-3024
17-3025	17-3025
17-3026	17-3026
17-3027	17-3027
17-3028	17-3028 | 17-3029
17-3029	17-3028 | 17-3029
17-3098	17-3028 | 17-3029
17-3031	17-3031
19-1011	19-1011
19-1012	19-1012
19-1013	19-1013
11-3041	11-3111
11-3111	11-3111
11-1021	11-1021
11-2011	11-2011
11-2021	11-2021
11-2022	11-2022
11-2030	11-2032 | 11-2033
11-2031	11-2032 | 11-2033
11-2032	11-2032 | 11-2033
11-2033	11-2032 | 11-2033
11-3010	11-3012 | 11-3013
11-3011	11-3012 | 11-3013
11-3012	11-3012 | 11-3013
11-3013	11-3012 | 11-3013
11-3021	11-3021
11-3031	11-3031
11-3042	11-3131
11-3131	11-3131
11-3051	11-3051
11-3061	11-3061
11-3071	11-3071
11-9011	11-9013
11-9012	11-9013
11-9013	11-9013
11-9021	11-9021
11-9031	11-9031
11-9033	11-9033
11-9041	11-9041
11-9051	11-9051
11-9061	11-9171 | 39-4031
11-9171	11-9171 | 39-4031
39-4031	11-9171 | 39-4031
39-4831	11-9171 | 39-4031
11-9071	11-9071
11-9072	11-9072 | 11-9179 | 11-9199
11-9198	11-9072 | 11-9179 | 11-9199
11-9199	11-9072 | 11-9179 | 11-9199
11-9081	11-9081
11-9111	11-9111
11-9121	11-9121
11-9131	11-9131
11-9141	11-9141
11-9151	11-9151
11-9161	11-9161
13-1061	11-9161
19-1021	19-1021
19-1022	19-1022
19-1023	19-1023
19-1031	19-1031
19-1032	19-1032
19-1041	19-1041
19-1042	19-1042
19-2011	19-2011
19-2012	19-2012
19-2021	19-2021
19-2031	19-2031
19-2032	19-2032
19-2041	19-2041
19-2042	19-2042
19-2043	19-2043
19-3011	19-3011
19-3022	19-3022
19-3031	19-3033 | 19-3034
19-3033	19-3033 | 19-3034
19-3034	19-3033 | 19-3034
19-3032	19-3032
19-3041	19-3041
13-1011	13-1011
13-1020	13-1021 | 13-1022 | 13-1023
13-1021	13-1021 | 13-1022 | 13-1023
13-1022	13-1021 | 13-1022 | 13-1023
13-1023	13-1021 | 13-1022 | 13-1023
13-1031	13-1031
13-1032	13-1032
13-1041	13-1041
13-1051	13-1051
13-1071	13-1071 | 13-1075
13-1075	13-1071 | 13-1075
13-1078	13-1071 | 13-1075
13-1079	13-1071 | 13-1075
13-1072	13-1141
13-1141	13-1141
13-1073	13-1151
13-1151	13-1151
13-1074	13-1074
45-1012	13-1074
13-1081	13-1081
13-1082	13-1082 | 13-1199
13-1198	13-1082 | 13-1199
13-1199	13-1082 | 13-1199
13-1111	13-1111
13-1121	13-1121
13-1131	13-1131 | 41-9099
41-9099	13-1131 | 41-9099
41-9799	13-1131 | 41-9099
13-1161	13-1161
19-3021	13-1161
13-2011	13-2011
13-2020	13-2022 | 13-2023
13-2021	13-2022 | 13-2023
13-2031	13-2031
13-2041	13-2041
13-2051	13-2051 | 13-2054 | 13-2099
13-2054	13-2051 | 13-2054 | 13-2099
13-2098	13-2051 | 13-2054 | 13-2099
13-2052	13-2052
13-2053	13-2053
13-2061	13-2061
13-2071	13-2071
13-2072	13-2072
13-2081	13-2081
13-2082	13-2082
19-3051	19-3051
19-3091	19-3091
19-3092	19-3092
19-3093	19-3093
19-3094	19-3094
19-4010	19-4012 | 19-4013
19-4011	19-4012 | 19-4013
19-4012	19-4012 | 19-4013
19-4013	19-4012 | 19-4013
19-4021	19-4021
19-4031	19-4031
19-4041	19-4043 | 19-4044
19-4043	19-4043 | 19-4044
19-4044	19-4043 | 19-4044
19-4045	19-4043 | 19-4044
19-4042	19-4042
19-4091	19-4042
19-4051	19-4051
19-4061	19-4061
19-4071	19-4071
19-4093	19-4071
19-4092	19-4092
19-5011	19-5011
29-9011	19-5011
19-5012	19-5012
29-9012	19-5012
21-1011	21-1011 | 21-1014
21-1014	21-1011 | 21-1014
21-1018	21-1011 | 21-1014
21-1012	21-1012
21-1013	21-1013
21-1015	21-1015
15-1011	15-1221
15-1111	15-1221
15-1221	15-1221
15-1021	15-1251
15-1131	15-1251
15-1251	15-1251
15-1031	15-1252 | 15-1253
15-1032	15-1252 | 15-1253
15-1132	15-1252 | 15-1253
15-1133	15-1252 | 15-1253
15-1252	15-1252 | 15-1253
15-1253	15-1252 | 15-1253
15-1256	15-1252 | 15-1253
15-1041	15-1231 | 15-1232
15-1150	15-1231 | 15-1232
15-1151	15-1231 | 15-1232
15-1152	15-1231 | 15-1232
15-1231	15-1231 | 15-1232
15-1232	15-1231 | 15-1232
15-1051	15-1211
15-1121	15-1211
15-1211	15-1211
15-1061	15-1242 | 15-1243
15-1141	15-1242 | 15-1243
15-1242	15-1242 | 15-1243
15-1243	15-1242 | 15-1243
15-1245	15-1242 | 15-1243
15-1071	15-1244
15-1142	15-1244
15-1244	15-1244
15-1081	15-1212 | 15-1241 | 15-1254 | 15-1255
15-1122	15-1212 | 15-1241 | 15-1254 | 15-1255
15-1134	15-1212 | 15-1241 | 15-1254 | 15-1255
15-1143	15-1212 | 15-1241 | 15-1254 | 15-1255
15-1179	15-1212 | 15-1241 | 15-1254 | 15-1255
15-1212	15-1212 | 15-1241 | 15-1254 | 15-1255
15-1241	15-1212 | 15-1241 | 15-1254 | 15-1255
15-1254	15-1212 | 15-1241 | 15-1254 | 15-1255
15-1255	15-1212 | 15-1241 | 15-1254 | 15-1255
15-1257	15-1212 | 15-1241 | 15-1254 | 15-1255
15-2011	15-2011
15-2021	15-2021
15-2031	15-2031
15-2041	15-2041
15-2051	15-2051 | 15-2099
15-2090	15-2051 | 15-2099
15-2098	15-2051 | 15-2099
15-2099	15-2051 | 15-2099
21-1021	21-1021
21-1022	21-1022
21-1023	21-1023
21-1091	21-1091
21-1092	21-1092
21-1093	21-1093
21-1094	21-1094 | 21-1099
21-1798	21-1094 | 21-1099
21-2011	21-2011
21-2021	21-2021
23-1011	23-1011
23-1012	23-1012
23-2092	23-1012
23-1021	23-1021
23-1022	23-1022
23-1023	23-1023
23-2011	23-2011
23-2091	27-3092
27-3092	27-3092
23-2093	23-2093
25-1194	25-1194
25-2011	25-2011
25-3011	25-3011
17-1011	17-1011
17-1012	17-1012
17-1021	17-1021
17-1022	17-1022
17-2011	17-2011
17-2021	17-2021
17-2031	17-2031
17-2041	17-2041
17-2051	17-2051
17-2061	17-2061
17-2071	17-2071
17-2072	17-2072
17-2081	17-2081
17-2111	17-2111
17-2112	17-2112
17-2121	17-2121
17-2131	17-2131
17-2141	17-2141
17-2151	17-2151
17-2161	17-2161
17-2171	17-2171
17-3011	17-3011
17-3012	17-3012
17-3013	17-3013
17-3021	17-3021
17-3022	17-3022
25-3021	25-3021
25-3031	25-3031
25-3098	25-3031
25-3041	25-3041
25-4011	25-4011
25-4012	25-4012
25-4013	25-4013
25-4021	25-4022
25-4022	25-4022
25-9011	25-4022
25-4031	25-4031
25-9021	25-9021
25-9031	25-9031
27-1011	27-1011
27-1012	27-1012
27-1013	27-1013
27-1014	27-1014
27-1021	27-1021
27-1022	27-1022
27-1023	27-1023
27-1024	27-1024
27-1025	27-1025
27-1026	27-1026
27-1027	27-1027
27-2011	27-2011
27-2012	27-2012
27-2031	27-2031
27-2032	27-2032
27-2041	27-2041
27-2042	27-2042
27-2090	27-2091 | 27-2099
27-2091	27-2091 | 27-2099
27-2099	27-2091 | 27-2099
27-3011	27-3011
27-3021	27-3023
27-3022	27-3023
27-3023	27-3023
27-3031	27-3031
27-3041	27-3041
27-3042	27-3042
27-3043	27-3043
27-3091	27-3091
27-4011	27-4011
27-4012	27-4012
27-4014	27-4014
27-4015	27-4015 | 27-4099
27-4098	27-4015 | 27-4099
27-4099	27-4015 | 27-4099
27-4021	27-4021
27-4031	27-4031
27-4032	27-4032
29-1011	29-1011
29-1021	29-1021
29-1022	29-1022
29-1023	29-1023
29-1024	29-1024
29-1031	29-1031
29-1041	29-1041
29-1051	29-1051
29-1061	29-1211
29-1211	29-1211
29-1062	29-1215
29-1215	29-1215
29-1063	29-1216
29-1216	29-1216
29-1064	29-1218
29-1218	29-1218
29-1065	29-1221
29-1221	29-1221
29-1066	29-1223
29-1223	29-1223
29-1069	29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241
29-1212	29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241
29-1213	29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241
29-1214	29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241
29-1217	29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241
29-1222	29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241
29-1224	29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241
29-1228	29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241
29-1241	29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241
29-1071	29-1071
29-1081	29-1081
29-1111	29-1141 | 29-1151 | 29-1161 | 29-1171
29-1141	29-1141 | 29-1151 | 29-1161 | 29-1171
29-1151	29-1141 | 29-1151 | 29-1161 | 29-1171
29-1161	29-1141 | 29-1151 | 29-1161 | 29-1171
29-1171	29-1141 | 29-1151 | 29-1161 | 29-1171
29-1121	29-1181
29-1181	29-1181
29-1122	29-1122
29-1123	29-1123
29-1124	29-1124
29-1125	29-1125
29-1126	29-1126
29-1127	29-1127
29-1128	29-1128 | 29-1129
29-1129	29-1128 | 29-1129
29-1131	29-1131
29-1199	29-1291 | 29-1299
29-1291	29-1291 | 29-1299
29-1298	29-1291 | 29-1299
29-1067	29-1242 | 29-1243 | 29-1249
29-1242	29-1242 | 29-1243 | 29-1249
29-1243	29-1242 | 29-1243 | 29-1249
29-1248	29-1242 | 29-1243 | 29-1249
29-1292	29-1292
29-2021	29-1292
29-2010	29-2011 | 29-2012
29-2011	29-2011 | 29-2012
29-2012	29-2011 | 29-2012
29-2031	29-2031
29-2032	29-2032
29-2033	29-2033
29-2034	29-2034 | 29-2035
29-2035	29-2034 | 29-2035
29-2037	29-2034 | 29-2035
29-2036	29-2036 | 29-2057 | 29-2072 | 29-2092 | 29-2099
29-2057	29-2036 | 29-2057 | 29-2072 | 29-2092 | 29-2099
29-2071	29-2036 | 29-2057 | 29-2072 | 29-2092 | 29-2099
29-2072	29-2036 | 29-2057 | 29-2072 | 29-2092 | 29-2099
