occ_code	occ_title	component
55108	Secretaries, Except Legal & Medical	43-6012
55338	Bookkeeping, Accounting & Auditing Clerks	43-3030
13002	Financial Managers	11-3030
21114	Accountants & Auditors	13-2010
22399	Other Architects, Surveying & Mapping Scientists	17-3030
24502	Biological/Agricultural/Food Technicians & Technologists	19-4020
55307	Typists, Including Word Processing	43-9022
55341	Payroll & Timekeeping Clerks	43-3050
56000	Office Machine Operators, Data Processors	43-9021
56017	Data Entry Keyers, Except Composing	43-9021
55105	Medical Secretaries	43-6013
25105	Computer Programmers	15-1252
55321	File Clerks	43-4070
22311	Surveying & Mapping Scientists	17-3030
22521	Surveying & Mapping Technicians & Technologists	17-3030
24302	Foresters & Conservation Scientists	19-2041
24111	Geologists, Geophysicists & Oceanographers	19-2042
21911	Compliance Officers, Except Construction	19-2041
24199	All Other Physical Scientists	19-2041
15014	Industrial Production Managers	11-3050
25302	Systems Researchers	15-2030
27102	Economists, Including Market Researchers	13-1160
21908	Construction & Building Inspectors	47-4010
55326	Procurement Clerks	43-3060
25312	Statisticians	15-2040
55302	Stenographers and/Or Court Reporters	27-3092
55332	Interviewing Clerks, Except Personnel or Welfare	43-4110
25319	Other Mathematical Scientists	15-2050 | 15-2090
25310	Mathematical Scientists	15-2050 | 15-2090
28305	Paralegal Personnel	23-2010
55102	Legal Secretaries	23-2010
63035	Detectives & Investigators, Except Public	33-3020
53399	Other Insurance Examiners, Appraisers & Clerks	13-2020
53302	Insurance Adjusters, Examiners & Investigators	43-9040
21917	Assessors	13-2020
43011	Appraisers, Real Estate	13-2020
53314	Insurance Policy Processing Clerks	43-9040
21508	Interviewers, Employment Service	43-4110
32923	Electroneurodiagnostic Technologists	29-2030
53502	Welfare Eligibility Workers & Interviewers	43-4060
25115	Data Base Administrators R&D	15-1242 | 15-1243
63011	Police Detectives	33-3020
21914	Tax Examiners, Collectors & Revenue Agents	13-2081
28102	Judges & Magistrates	23-1023
28105	Adjudicators, Hearings Officers & Judicial Reviewers	23-1021
63028	Criminal Investigators, Federal	33-3020
53702	Court Clerks	43-4030
53705	Municipal Clerks	43-4030
