year	price
1997	85.96886602980383
1998	89.35206865164736
1999	92.348713916764
2000	100.68580918589551
2001	106.30527103816362
2002	104.03431363046592
2003	105.39139425351674
2004	105.11805404530416
2005	104.68334723067
2006	104.72573989282263
2007	104.23368262976145
2008	105.81516562473003
2009	101.25553564624128
2010	99.86073788108885
2011	98.68915028180064
2012	99.81151985364424
2013	98.05606033676301
2014	97.69059712911239
2015	98.35911134512763
2016	98.61257126705608
2017	100.0
2018	101.70431592323797
2019	105.75846569087474
2020	102.30377830309976
2021	104.36409977665755
2022	106.37213130547127
2023	105.61438539043854
