occ	occ_ttl	component
110510	Computer & information scientists, research	15-1221
110520	Computer network architect	15-1212 | 15-1241 | 15-1254
110540	Computer support specialists	15-1231 | 15-1232
110550	Computer system analysts	15-1211
110560	Database administrators	15-1242 | 15-1243
110570	Information security analysts	15-1212 | 15-1241 | 15-1254
110580	Network and computer systems administrators	15-1244
110590	Software developers - applications and systems software	15-1252
110600	Web developers	15-1212 | 15-1241 | 15-1254
110610	OTHER computer information science occupations	
110880	Computer engineers - software	
121720	Mathematicians	15-2021
121730	Operations research analysts, including modeling	15-2031
121740	Statisticians	15-2041
121760	OTHER mathematical scientists	
182760	Postsecondary Teachers: Computer Science	
182860	Postsecondary Teachers: Mathematics and Statistics	
210210	Agricultural and food scientists	19-4012 | 19-4013
220220	Biochemists and biophysicists	19-1021
220230	Biological scientists (e.g., botanists, ecologists, zoologists)	19-1023
220250	Medical scientists (excluding practitioners)	19-1042
220270	OTHER biological and life scientists	
230240	Forestry and conservation scientists	19-1031
230240	Forestry and conservation scientists	19-1032
282710	Postsecondary Teachers: Agriculture	
282730	Postsecondary Teachers: Biological Sciences	
282970	Postsecondary Teachers: OTHER Natural Sciences	
311930	Chemists, except biochemists	19-2031
321920	Atmospheric and space scientists	19-2021
321940	Geologists, including earth scientists and oceanographers	19-4043 | 19-4044
331960	Physicists, except biophysicists	19-2012
341980	OTHER physical scientists, including astronomers	19-2011
382750	Postsecondary Teachers: Chemistry	
382770	Postsecondary Teachers: Earth, Environmental, and Marine Science	
382890	Postsecondary Teachers: Physics	
412320	Economists	19-3011
422350	Political scientists	19-3094
432360	Psychologists, including clinical	19-3032
442310	Anthropologists	19-3091
452380	OTHER social scientists, including sociologists	
482780	Postsecondary Teachers: Economics	
482900	Postsecondary Teachers: Political Science	
482910	Postsecondary Teachers: Psychology	
482930	Postsecondary Teachers: Sociology	
482980	Postsecondary Teachers: OTHER Social Sciences	
510820	Aeronautical/aerospace/astronautical engineers	17-2011
520850	Chemical engineers	17-2041
530860	Civil, including architectural/sanitary engineers	17-2051
540870	Computer engineer - hardware	17-2061
540890	Electrical and electronics engineers	17-2071
540890	Electrical and electronics engineers	17-2072
550910	Industrial engineers	17-2112
560940	Mechanical engineers	17-2141
570840	Bioengineers or biomedical engineers	17-2031
570900	Environmental engineers	17-2081
570920	Marine engineers and naval architects	17-2121
570930	Materials and metallurgical engineers	17-2131
570960	Nuclear engineers	17-2161
570970	Petroleum engineers	17-2171
570980	Sales engineers	41-9031
570990	Other engineers, including agricultural, mining, and geological	17-2021
570990	Other engineers, including agricultural, mining, and geological	17-2151
570990	Other engineers, including agricultural, mining, and geological	17-2081
570990	Other engineers, including agricultural, mining, and geological	17-2111
582800	Postsecondary Teachers: Engineering	
611110	Diagnosing/treating practitioners (dent,optom,physicians,psych,pod,surgn,vet)	29-1215
611110	Diagnosing/treating practitioners (dent,optom,physicians,psych,pod,surgn,vet)	29-1216
611110	Diagnosing/treating practitioners (dent,optom,physicians,psych,pod,surgn,vet)	29-1218
611110	Diagnosing/treating practitioners (dent,optom,physicians,psych,pod,surgn,vet)	29-1221
611110	Diagnosing/treating practitioners (dent,optom,physicians,psych,pod,surgn,vet)	29-1223
611110	Diagnosing/treating practitioners (dent,optom,physicians,psych,pod,surgn,vet)	29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241
611110	Diagnosing/treating practitioners (dent,optom,physicians,psych,pod,surgn,vet)	29-1242 | 29-1243 | 29-1249
611120	RNs, pharmacists, dieticians, therapists, physician asst, nurse practictioners	29-1051
611120	RNs, pharmacists, dieticians, therapists, physician asst, nurse practictioners	29-1071
611120	RNs, pharmacists, dieticians, therapists, physician asst, nurse practictioners	29-1141 | 29-1151 | 29-1161 | 29-1171
611120	RNs, pharmacists, dieticians, therapists, physician asst, nurse practictioners	29-2061
611120	RNs, pharmacists, dieticians, therapists, physician asst, nurse practictioners	29-1122
611120	RNs, pharmacists, dieticians, therapists, physician asst, nurse practictioners	29-1123
611120	RNs, pharmacists, dieticians, therapists, physician asst, nurse practictioners	29-1124
611120	RNs, pharmacists, dieticians, therapists, physician asst, nurse practictioners	29-1125
611120	RNs, pharmacists, dieticians, therapists, physician asst, nurse practictioners	29-1126
611130	Health technologists and technicians (dent hyg,hlth rcrd tech,LPN,lab/rad tech)	29-1292
611130	Health technologists and technicians (dent hyg,hlth rcrd tech,LPN,lab/rad tech)	29-2036 | 29-2057 | 29-2072 | 29-2092
611130	Health technologists and technicians (dent hyg,hlth rcrd tech,LPN,lab/rad tech)	29-2034 | 29-2035
611130	Health technologists and technicians (dent hyg,hlth rcrd tech,LPN,lab/rad tech)	29-2011 | 29-2012
611140	OTHER health occupations	
612870	Postsecondary Teachers: Health and Related Sciences	
621420	Computer and information systems managers	11-3021
621430	Engineering managers	
621440	Medical and health services managers	11-9111
621450	Natural sciences managers	11-9121
632530	Teachers: Secondary - computer, math or sciences	
632540	Teachers: Secondary - social sciences	
640260	Technologists and technicians in the biological/life sciences	19-1012
640260	Technologists and technicians in the biological/life sciences	29-2056
640530	Computer programmers (business, scientific, process control)	15-1251
641000	Electrical, electronic, industrial, and mechanical technicians	
641010	Drafting occupations, including computer drafting	
641020	Surveying and mapping technicians	17-3031
641030	OTHER engineering technologists and technicians	
641040	Surveyors, cartographers, photogrammetrists	17-1021
641040	Surveyors, cartographers, photogrammetrists	17-1022
641970	Technologists and technicians in the mathematical or physical sciences	
650810	Architects	17-1011
650810	Architects	17-1012
651710	Actuaries	15-2011
711410	Top-level managers, execs, admins (CEO/COO/CFO, pres, dist/gen mngr,provost)	
711460	Education administrators (e.g. registrar, dean, principal)	
711470	OTHER mid-level managers	
721510	Accountants, auditors, and other financial specialists	13-2011
721510	Accountants, auditors, and other financial specialists	13-2054 | 13-2099
721520	Personnel, training, and labor relations specialists	13-1071 | 13-1075
721520	Personnel, training, and labor relations specialists	13-1141
721520	Personnel, training, and labor relations specialists	13-1151
721530	OTHER management related occupations	
732510	Teachers: Pre-kindergarten and kindergarten	
732520	Teachers: Elementary	
732550	Teachers: Secondary - other subjects	
732560	Teachers: Special education - primary and secondary	
732570	Teachers: OTHER precollegiate area	
742720	Postsecondary Teachers: Art, Drama, and Music	
742740	Postsecondary Teachers: Business Commerce and Marketing	
742790	Postsecondary Teachers: Education	
742810	Postsecondary Teachers: English	
742820	Postsecondary Teachers: Foreign Language	
742830	Postsecondary Teachers: History	
742880	Post-sec teachers - physical education	
742990	Postsecondary Teachers: OTHER Postsecondary fields	
750400	Clergy and other religious workers	
750700	Counselors (Educational, vocational,mental health, and substance abuse)	21-1011 | 21-1014
750700	Counselors (Educational, vocational,mental health, and substance abuse)	21-1012
750700	Counselors (Educational, vocational,mental health, and substance abuse)	21-1015
752400	Social Workers	21-1021
752400	Social Workers	21-1022
752400	Social Workers	21-1023
762000	Insurance, securities, real estate and business services	13-2053
762000	Insurance, securities, real estate and business services	13-2022 | 13-2023
762000	Insurance, securities, real estate and business services	41-9021
762000	Insurance, securities, real estate and business services	41-9022
762000	Insurance, securities, real estate and business services	43-9041
762010	Sales- Commodities except retail (industrial/med/dental machine,equip,supplies)	
762020	Sales- retail (e.g., furnishings, clothing, motor vehicles, cosmetics)	
762030	OTHER marketing and sales occupations	
770100	Writers, editors, PR specialists, artists, entertaininers, broadcasters	
772330	Historians	19-3093
780310	Accounting clerks and bookkeepers	43-3031
780320	Secretaries, receptionists, typists	43-6012
780320	Secretaries, receptionists, typists	43-6013
780320	Secretaries, receptionists, typists	43-6014
780320	Secretaries, receptionists, typists	43-9022
780330	OTHER administrative (e.g. record clerks, telephone operators)	
781100	Farmers, Foresters and Fishermen	
781200	Lawyers, judges	23-1011
781200	Lawyers, judges	23-1012
781200	Lawyers, judges	23-1021
781200	Lawyers, judges	23-1022
781200	Lawyers, judges	23-1023
781200	Lawyers, judges	23-2011
781300	Librarians, archivists, curators	25-4011
781300	Librarians, archivists, curators	25-4012
781300	Librarians, archivists, curators	25-4013
781300	Librarians, archivists, curators	25-4022
781300	Librarians, archivists, curators	25-4031
782210	Food preparation and service (e.g., cookes, waitresses, bartenders)	
