component	lightcast
11-1011	0.11973524580483773
11-1021	0.03815664306098721
11-1031	0.018292682926829267
11-2011	0.06372089262613195
11-2021	0.0849395665106518
11-2022	0.07606705418585198
11-2032 | 11-2033	0.045577180866407614
11-3012 | 11-3013	0.18743399740005534
11-3021	0.251451460461767
11-3031	0.19095006309716964
11-3051	0.12648825955636386
11-3061	0.11409488601355515
11-3071	0.14163399654403472
11-3111	0.2485778108711839
11-3121	0.1479655387170438
11-3131	0.10422780630961115
11-9013	0.32228360957642727
11-9021	0.06780302478929824
11-9031	0.05868398052191285
11-9032	0.14717625403487555
11-9033	0.23253286683630195
11-9041	0.2008149195470677
11-9051	0.010621960238160786
11-9071	0.0
11-9081	0.04561356522321354
11-9111	0.15774774352943122
11-9121	0.3220514917996722
11-9131	0.028094820017559263
11-9141	0.08779466725123374
11-9151	0.12698412698412698
11-9161	0.04518664047151277
11-9171 | 39-4031	0.2975124378109453
13-1011	0.14102898929224342
13-1021 | 13-1022 | 13-1023	0.09985091600112418
13-1031	0.1970647006132433
13-1032	0.0420795090498655
13-1041	0.3119764048821813
13-1051	0.0710950355030463
13-1071 | 13-1075	0.15245839977537734
13-1074	0.0
13-1081	0.222174739490742
13-1082 | 13-1199	0.27249923274938775
13-1111	0.24173366110778907
13-1121	0.08494541836167287
13-1131 | 41-9099	0.1105303910181959
13-1141	0.23504297138559213
13-1151	0.1314436230550831
13-1161	0.13714834531054687
13-2011	0.3419213829996134
13-2022 | 13-2023	0.18489915751850905
13-2031	0.13384941940317144
13-2041	0.13509493393997726
13-2052	0.0506729513783391
13-2053	0.06794789150438842
13-2054 | 13-2099	0.3074828654586424
13-2061	0.3634085213032581
13-2071	0.11588164251207729
13-2072	0.06416839461273295
13-2081	0.12182183396694438
13-2082	0.0628773998247431
15-1211	0.32165802632687285
15-1212 | 15-1241 | 15-1254 | 15-1255	0.2648723544157758
15-1221	0.23259719539843815
15-1231 | 15-1232	0.1880944392715374
15-1242 | 15-1243	0.7900146336670867
15-1244	0.2314143852489443
15-1251	0.30792847289390646
15-1252 | 15-1253	0.26
15-2011	0.13813818702787184
15-2021	0.0539118231785756
15-2031	0.3114973348828452
15-2041	0.4728112083310967
15-2051 | 15-2099	0.41471140042384147
17-1011	0.062147415148432444
17-1012	0.1127177700348432
17-1021	0.38596491228070173
17-1022	0.14754926730672058
17-2011	0.10725929868920088
17-2031	0.09656675203346211
17-2041	0.0633077243761539
17-2051	0.08217313422247446
17-2061	0.1217420514948525
17-2071	0.09382874137717377
17-2072	0.12236431976530987
17-2081	0.17888051802502958
17-2111	0.135176596503746
17-2112	0.13376319973401574
17-2121	0.043331076506431955
17-2131	0.07084265473527218
17-2141	0.13816678863150889
17-2151	0.26695562435500514
17-2161	0.18754097383634305
17-2171	0.08726639214444093
17-3011	0.04885016930022573
17-3012	0.10003445503617779
17-3013	0.03798380919481534
17-3021	0.11139564660691421
17-3022	0.17113349265961078
17-3023	0.09055474688662461
17-3024	0.17323936744917
17-3025	0.3226643598615917
17-3026	0.14104152349260318
17-3027	0.038079018966253333
17-3031	0.21283783783783783
19-1011	0.125
19-1012	0.06542056074766354
