occ_code	component
13002	11-3031
15014	11-3051
21114	13-2011
21502	43-4061
21508	43-4111
21908	47-4011
21914	13-2081
21917	13-2022 | 13-2023
22521	17-3031
24111	19-2042
24502	19-4021
25103	15-1242 | 15-1243
25302	13-1081
25310	15-2051 | 15-2099
25312	15-2041
25323	15-2051 | 15-2099
27102	13-1161
28102	23-1021
28102	23-1023
28305	23-2011
32902	29-2032
32902	29-2034 | 29-2035
32905	29-2032
32905	29-2034 | 29-2035
32911	31-9094
32919	29-2034 | 29-2035
32923	29-2032
43011	13-2022 | 13-2023
55102	43-6012
55105	43-6013
55302	27-3092
55307	43-9022
55321	43-4071
55326	43-3061
55338	43-3031
55341	43-3051
56017	43-9021
56021	43-9021
63011	33-3021
63028	33-3021
