component	probable
11-1011	false
11-1021	false
11-1031	false
11-2011	false
11-2021	false
11-2022	false
11-3021	false
11-3031	true
11-3051	true
11-3061	false
11-3071	false
11-3111	false
11-3121	false
11-3131	false
11-9013	false
11-9021	false
11-9031	false
11-9032	false
11-9033	false
11-9041	false
11-9051	false
11-9071	false
11-9081	false
11-9111	false
11-9121	false
11-9131	false
11-9141	false
11-9151	false
11-9161	false
13-1011	false
13-1031	false
13-1032	false
13-1041	false
13-1051	false
13-1074	false
13-1081	true
13-1111	false
13-1121	false
13-1141	false
13-1151	false
13-1161	true
13-2011	true
13-2031	false
13-2041	false
13-2052	false
13-2053	false
13-2061	false
13-2071	false
13-2072	true
13-2081	true
13-2082	false
15-1211	false
15-1221	false
15-1241	false
15-1244	false
15-1251	false
15-1252 | 15-1253	true
15-1254	false
15-1255	false
15-2011	true
15-2021	false
15-2031	true
15-2041	true
15-2051	true
17-1011	false
17-1012	false
17-1021	true
17-1022	true
17-2011	false
17-2021	false
17-2031	false
17-2041	false
17-2051	false
17-2061	false
17-2071	false
17-2072	false
17-2081	false
17-2111	false
17-2112	false
17-2121	false
17-2131	false
17-2141	false
17-2151	false
17-2161	false
17-2171	false
17-3011	false
17-3012	false
17-3013	false
17-3021	false
17-3022	false
17-3023	false
17-3024	false
17-3025	false
17-3026	false
17-3027	false
17-3031	true
19-1011	true
19-1012	true
19-1013	true
19-1021	true
19-1022	true
19-1023	true
19-1031	true
19-1032	true
19-1041	true
19-1042	true
19-2011	true
19-2012	true
19-2021	true
19-2031	true
19-2032	true
19-2041	true
19-2042	true
19-2043	true
19-3011	true
19-3022	true
19-3034	true
19-3032	true
19-3041	true
19-3051	true
19-3091	true
19-3092	true
19-3093	true
19-3094	true
19-4021	true
19-4031	true
19-4042	true
19-4051	true
19-4061	true
19-4071	true
19-4092	true
19-5011	false
19-5012	false
21-1012	false
21-1013	false
21-1015	false
21-1021	false
21-1022	false
21-1023	false
21-1091	false
21-1092	false
21-1093	false
21-2011	false
21-2021	false
23-1011	true
23-1012	true
23-1021	true
23-1022	false
23-1023	true
23-2011	true
23-2093	false
25-1011	false
25-1021	false
25-1022	false
25-1031	false
25-1032	false
25-1041	false
25-1042	false
25-1043	false
25-1051	false
25-1052	false
25-1053	false
25-1054	false
25-1061	false
25-1062	false
