account	description	industry
111CA	Farms	Non-Manufacturing
113FF	Forestry, fishing, and related activities	Non-Manufacturing
211	Oil and gas extraction	Non-Manufacturing
212	Mining, except oil and gas	Non-Manufacturing
213	Support activities for mining	Non-Manufacturing
22	Utilities	Trade, transportation, and utilities
23	Construction	Non-Manufacturing
321	Wood products	Manufacturing
327	Nonmetallic mineral products	Manufacturing
331	Primary metals	Manufacturing
332	Fabricated metal products	Manufacturing
333	Machinery	Manufacturing
334	Computer and electronic products	Manufacturing
335	Electrical equipment, appliances, and components	Manufacturing
3361MV	Motor vehicles, bodies and trailers, and parts	Manufacturing
3364OT	Other transportation equipment	Manufacturing
337	Furniture and related products	Manufacturing
339	Miscellaneous manufacturing	Manufacturing
311FT	Food and beverage and tobacco products	Manufacturing
313TT	Textile mills and textile product mills	Manufacturing
315AL	Apparel and leather and allied products	Manufacturing
322	Paper products	Manufacturing
323	Printing and related support activities	Manufacturing
324	Petroleum and coal products	Manufacturing
325	Chemical products	Manufacturing
326	Plastics and rubber products	Manufacturing
42	Wholesale trade	Trade, transportation, and utilities
441	Motor vehicle and parts dealers	Trade, transportation, and utilities
445	Food and beverage stores	Trade, transportation, and utilities
452	General merchandise stores	Trade, transportation, and utilities
4A0	Other retail	Trade, transportation, and utilities
481	Air transportation	Trade, transportation, and utilities
482	Rail transportation	Trade, transportation, and utilities
483	Water transportation	Trade, transportation, and utilities
484	Truck transportation	Trade, transportation, and utilities
485	Transit and ground passenger transportation	Trade, transportation, and utilities
486	Pipeline transportation	Trade, transportation, and utilities
487OS	Other transportation and support activities	Trade, transportation, and utilities
493	Warehousing and storage	Trade, transportation, and utilities
511	Publishing industries, except internet (includes software)	Other services-producing industries
512	Motion picture and sound recording industries	Other services-producing industries
513	Broadcasting and telecommunications	Other services-producing industries
514	Data processing, internet publishing, and other information services	Other services-producing industries
521CI	Federal Reserve banks, credit intermediation, and related activities	Other services-producing industries
523	Securities, commodity contracts, and investments	Other services-producing industries
524	Insurance carriers and related activities	Other services-producing industries
525	Funds, trusts, and other financial vehicles	Other services-producing industries
HS	Housing	Other services-producing industries
ORE	Other real estate	Other services-producing industries
532RL	Rental and leasing services and lessors of intangible assets	Other services-producing industries
5411	Legal services	Other services-producing industries
5415	Computer systems design and related services	Other services-producing industries
5412OP	Miscellaneous professional, scientific, and technical services	Other services-producing industries
55	Management of companies and enterprises	Other services-producing industries
561	Administrative and support services	Other services-producing industries
562	Waste management and remediation services	Other services-producing industries
61	Educational services	Other services-producing industries
621	Ambulatory health care services	Other services-producing industries
622	Hospitals	Other services-producing industries
623	Nursing and residential care facilities	Other services-producing industries
624	Social assistance	Other services-producing industries
711AS	Performing arts, spectator sports, museums, and related activities	Other services-producing industries
713	Amusements, gambling, and recreation industries	Other services-producing industries
721	Accommodation	Other services-producing industries
722	Food services and drinking places	Other services-producing industries
81	Other services, except government	Other services-producing industries
GFGD	Federal general government (defense)	Government
GFGN	Federal general government (nondefense)	Government
GFE	Federal government enterprises	Government
GSLG	State and local general government	Government
GSLE	State and local government enterprises	Government
