industry	account	line	level	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
        Gross domestic product	GDP	1	-1	193398.02531412797	212250.7777552451	230818.26326945366	256246.88881660782	278112.8018657172	286551.6226464233	308081.2813724885	317633.73866807093	343799.69581379986	379156.96351478883	394017.1664090402	398025.28664468497	380971.98831306526	390237.997955673	412534.80383613124	437766.3303467757	457284.1270677622	481757.4679047922	511729.01446976734	534067.8396193618	562774.8579015296	596045.7089315457	622548.1417607602	644773.4840393004	719689.0182933165	770851.213167271	815413.1372926475
Private industries	PVT	2	0	140385.60247647116	155437.79599839303	169007.314864033	188774.41648237366	204901.41266433217	208835.31696726521	223345.5361961909	233163.34363194418	254187.44094006106	276430.3605510547	290347.50174421276	291107.47894258285	285344.3711380421	289184.94679368864	307962.45783863857	334048.90765677736	349150.3209413966	369570.19433591905	395933.89586120564	415331.632425651	440872.7153758717	468095.93914121186	495854.16622090095	508962.79989592417	575789.5316226998	623759.4130541574	661589.5040600445
    Agriculture, forestry, fishing, and hunting	11	3	1	148.2311597201686	151.4530765519606	170.34435862530069	195.31316635335392	177.07282430996736	208.78136930875976	227.9288748224491	270.42396355938666	281.0351918311678	560.008014385218	337.9535460214392	324.01201752672114	311.64022567029804	323.07016520388515	370.8059979175896	414.8061082045031	380.91448419437177	403.7578769810902	435.3030398589141	446.82354915395825	384.51084624494365	379.0492895656756	368.1455657460972	391.90041961795555	452.60365525361294	497.22516735750287	636.9743325217225
        Farms	111CA	4	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
        Forestry, fishing, and related activities	113FF	5	2	148.2311597201686	151.4530765519606	170.34435862530069	195.31316635335392	177.07282430996736	208.78136930875976	227.9288748224491	270.42396355938666	281.0351918311678	560.008014385218	337.9535460214392	324.01201752672114	311.64022567029804	323.07016520388515	370.8059979175896	414.8061082045031	380.91448419437177	403.7578769810902	435.3030398589141	446.82354915395825	384.51084624494365	379.0492895656756	368.1455657460972	391.90041961795555	452.60365525361294	497.22516735750287	636.9743325217225
    Mining	21	6	1	1269.130217516817	1323.0406527875898	1337.5482746417708	1558.0693864705563	1752.9350203409833	1664.1263517156622	1762.6015390266516	1978.1673841010447	2449.559504652028	3104.1513713303075	3368.8853238421425	3869.06905051426	3253.935063489955	3303.45882553771	3736.5454786438613	4580.729587809913	4820.299475234035	5223.856456326614	5008.169527056421	4622.14990200868	4422.962070173813	4999.509245026379	4562.387454739794	3704.719170643939	3185.2304613204064	3523.840200685279	3784.533583304437
        Oil and gas extraction	211	7	2	798.9861338788415	822.1358122818408	845.3437722604526	1103.7988242206484	1337.7145233762228	1215.9988744527113	1292.3869912220362	1490.7556291188948	1795.7063551173594	2222.286612549151	2435.17454481878	2901.703199409793	2466.6264159921343	2449.5537084583852	2716.701379773637	3335.6288213024113	3568.1702757187104	3794.681376635849	3795.561653043266	3650.2999775844587	3185.1953144180616	3512.401053917678	3164.11057256672	2733.136314902351	1963.4998145581908	2174.4104066052837	2292.604905629291
        Mining, except oil and gas	212	8	2	210.66633288854862	219.4829313053716	218.91814674800506	209.0595452569129	207.2158005157188	192.65141440920064	211.38178819213286	214.2667237594194	229.35743975318138	276.0952759447543	277.8462008455337	283.60063662160695	258.98297783537845	280.53388995415935	292.59122090070196	298.212846473704	298.63359724829303	326.6447810840284	355.0759197941433	290.0812587467809	311.44050514397594	337.81290181104663	333.9444379287736	300.4469463672981	378.9404899659769	436.920346063373	466.01251815881386
        Support activities for mining	213	9	2	259.47775074942695	281.4219092003773	273.2863556333132	245.2110169929949	208.0046964490419	255.47606285375022	258.83275961248245	273.1450312227305	424.4957097814874	605.7694828364023	655.8645781778289	683.7652144828602	528.3256696624425	573.3712271251653	727.252877969522	946.8879200337976	953.4956022670309	1102.530298606736	857.5319542190131	681.7686656774412	926.326250611776	1149.2952892976543	1064.3324442443	671.1359093742898	842.7901567962385	912.5094480166222	1025.9161595163323
    Utilities	22	10	1	1151.1413905618067	1207.3044145483689	1359.9826396568571	1767.3002496457837	1996.5377359442118	2081.161363105486	2132.712917392737	2017.4297585627912	1965.3314022832155	2143.262862195276	2261.2387725967974	2509.9724853234134	2522.4786123845624	2483.31720912526	2584.2032272465217	2550.643943338994	2708.727168831365	2921.682401360343	3083.6162863969357	3395.5843905864604	3436.8705707444205	3441.35812166093	3520.3757659376356	3529.3792241640926	3709.8312259180766	3882.0409550083036	4102.526867934412
