account	year	volume	netstock	cfc	current_cost_netstock
113FF	1997	172.424235151339	517.272705454017	0.0	444.69347916050566
113FF	1998	169.50147751186768	486.0997015625678	179.30680038982905	434.3401390556385
113FF	1999	184.45774867946287	477.78125827459763	178.02633401963655	441.22484735192353
113FF	2000	193.9828143931868	480.17318417738744	192.90483640300297	483.4662559826829
113FF	2001	166.57012637350613	458.9238947628468	199.6619390157787	487.86029018654114
113FF	2002	200.68510285016117	473.1868488836989	193.9430028857031	492.27669042578606
113FF	2003	216.26896241088824	495.68203459820614	204.22088495801202	522.4062073272487
113FF	2004	257.2573912401749	544.8358490989499	218.75443026716633	572.720842314026
113FF	2005	268.4621759484879	586.9423793563733	236.95666655500227	614.4309290255885
113FF	2006	534.737701503313	836.9096708236765	298.2279189060362	876.4598450046816
113FF	2007	324.22681180885826	828.128790389833	347.1061810649506	863.1891351406209
113FF	2008	306.20565172653886	807.2572366986711	346.0972866334786	854.2005820303178
113FF	2009	307.7759884250501	794.6514814866559	324.40425063247807	804.6286141001053
113FF	2010	323.52070699556344	799.3682434874069	318.3599718658404	798.2550263336235
113FF	2011	375.7312702143816	846.021554170256	324.76424202635724	834.9314830115093
113FF	2012	415.5894117359821	910.3388792268225	350.6100085363354	908.6230711749224
113FF	2013	388.4660294184387	930.6142773332474	361.033227593617	912.5236972844201
113FF	2014	413.30270143345035	964.8284360833736	370.33386099538944	942.5466604813241
113FF	2015	442.56503938054084	1012.0231568726998	388.88273188871864	995.4169837068945
113FF	2016	453.1101292794608	1052.2738789813507	407.1312771290603	1037.6743288351
113FF	2017	384.51084624494365	1021.9416245250202	414.8431007012741	1021.9416245250202
113FF	2018	372.69734929613566	991.8755407634599	409.62779438027815	1008.7802335433942
113FF	2019	348.1003277999165	951.3339670089038	411.0217121158503	1006.1162071047492
113FF	2020	383.0752159092848	953.4519912636733	389.7336007799503	975.4174113688784
113FF	2021	433.6775349207237	997.0326066097188	407.1211383705849	1040.5441043679764
113FF	2022	467.4393201068896	1054.2211711622206	436.3924723800014	1121.3975284387543
113FF	2023	603.1132313717835	1205.4084735846334	477.2987922799079	1273.0847508206773
211	1997	929.3901045546509	2788.1703136639526	0.0	2396.9584016365247
211	1998	920.1083138735853	2625.53713733729	967.4519196435955	2345.971745428112
211	1999	915.3822900255872	2513.176666579516	949.1072219560783	2320.886330042383
211	2000	1096.2804323126732	2589.0181379802384	1027.4372250423417	2606.773862195008
211	2001	1258.3708317680528	2774.6544517935367	1140.3733368317403	2949.6039353515926
211	2002	1168.8440400270133	2823.8063345515357	1164.8640505889762	2937.7275384043082
211	2003	1226.2737393085688	2904.4323391248317	1207.4141208713356	3061.02173735369
211	2004	1418.1727797932826	3118.098875910957	1266.1535235033266	3277.6848615661015
211	2005	1715.3696386498957	3508.2072828155515	1387.3278169413882	3672.5088114414566
211	2006	2122.006122681454	4107.143290778246	1595.0464467256834	4301.236199725942
211	2007	2336.2645196644653	4684.982626905885	1832.8713250895755	4883.329922588541
211	2008	2742.237544380535	5408.5197049210365	2136.091241951729	5723.034083608355
211	2009	2436.0410522243856	5635.714013467679	2236.579601915457	5706.472411826981
211	2010	2452.9697661309488	5801.284147420911	2284.214150981981	5793.205156193157
211	2011	2752.7862708476746	6161.511323987003	2361.196240136439	6080.743170159698
211	2012	3341.9276915064656	6892.613958913391	2605.9041696923437	6879.622750035893
211	2013	3638.908460593066	7627.499689769816	2847.570280063873	7479.225697987102
211	2014	3884.387533859194	8321.989404729207	3116.230227091751	8129.801142501428
211	2015	3858.881603479722	8763.727606052573	3361.071883749652	8619.924594020938
211	2016	3701.65784208076	8927.19993910235	3489.0957066538303	8803.341402099892
211	2017	3185.1953144180616	8605.796054749952	3506.59919877046	8605.796054749952
211	2018	3453.541791253664	8615.14886254469	3502.888844730426	8761.978216419693
211	2019	2991.8272281059876	8236.621931784783	3564.4348467651566	8710.924979813673
211	2020	2671.588831064256	7717.405313743402	3264.3145327362568	7895.19722292369
211	2021	1881.3939072536841	6712.765131873672	3011.98349636111	7005.716900001316
211	2022	2044.1542158828988	6178.6386011515315	2742.5721812023985	6572.349565707441
211	2023	2170.7316642083524	5928.035454274648	2557.277878972408	6260.858210759461
212	1997	245.04956575269284	735.1486972580785	0.0	631.9989986656457
212	1998	245.63833229318868	694.7977417497098	255.53734477280508	620.8161551982962
212	1999	237.0559777858098	660.745142654648	250.36528406752623	610.1896415090551
212	2000	207.6355615029401	613.5263963555489	256.60212205559617	617.734016739649
212	2001	194.9252360603345	571.4552942873114	251.93959959810124	607.487099454062
212	2002	185.18064635242007	535.2874014852244	230.2784334404546	556.8825740855096
212	2003	200.56835730217057	523.9985654086252	223.27924992825476	552.2493939525759
212	2004	203.83437051362648	519.1943523671055	219.31681902085558	545.7669999214208
212	2005	219.09639481415488	528.7098972565327	219.39624885569197	553.4712175879747
212	2006	263.6365006609769	572.1703487218359	230.58099658695446	599.2096311462861
212	2007	266.56086001724105	603.5809491622582	245.10577527036156	629.13465096349
212	2008	268.01511385181516	625.7332276513515	260.1601664487215	662.1206512082466
212	2009	255.77167330405817	630.2985461876162	254.36034009752652	638.2121691127423
212	2010	280.9251122179876	654.3032909734005	256.5625746846029	653.3920943462856
212	2011	296.477596640792	683.2668578495937	264.0073228592858	674.3102561689227
212	2012	298.7759798778536	704.4912217979406	277.02848623759013	703.1633957120324
212	2013	304.55394212521696	723.4557663029747	280.03771204584467	709.392222715836
212	2014	334.3666541953056	760.9427226980711	290.0235495361286	743.3694896142714
212	2015	360.9995199613326	808.1280817664914	308.6648199294377	794.8675997559473
212	2016	294.1625545501719	783.8875166361374	313.9855033114883	773.0116359963671
212	2017	311.44050514397594	782.1254320440717	313.2025897360418	782.1254320440717
212	2018	332.15198268086607	798.2102735967695	321.45392374253856	811.8142983906006
212	2019	315.7614246266317	795.2747029200394	337.04905243575456	841.070323835896
212	2020	293.6811829932137	774.9174544410378	321.27318071986707	792.7698346233833
